KO,Control_1,Control_2,Control_3,Control_4,Control_5,SO4_1,SO4_2,SO4_3,SO4_4,SO4_5,ASW_1,ASW_2,ASW_3,ASW_4,ASW_5,ASW_S_2,ASW_S_4,ASW_S_5,SourceSoil_1,SourceSoil_2,SourceSoil_3,SourceSoil_4,SourceSoil_5,Fxn
K03494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4C) [EC:2.4.99.4]"
K03495,1313,1014,1593,1389,1504,1572,3036,1721,2593,697,727,393,1143,1099,1631,502,720,1254,2077,1239,1263,1540,1709,tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K03496,2532,2442,2731,2727,3825,2965,6594,2760,4979,2291,2497,2999,3682,3839,2625,1924,3111,3199,3229,2768,2540,2347,2587,chromosome partitioning protein
K03497,2078,1847,2649,2571,2617,2520,5450,2765,4324,1152,1373,1212,2212,2181,2717,1106,1713,2033,2326,1577,1534,1760,2011,"chromosome partitioning protein, ParB family"
K03498,14,2,27,13,10,5,21,24,9,27,78,49,75,183,326,12,109,89,121,77,79,128,114,trk system potassium uptake protein
K03499,366,392,247,323,943,340,1011,333,778,662,1066,1324,1242,1718,487,819,1346,1020,473,560,508,363,328,trk system potassium uptake protein
K03500,1248,991,1109,1405,1737,1417,3265,1563,2615,947,1045,1116,1421,1746,1393,711,1070,1657,1907,1371,1348,1514,1601,16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
K03501,638,640,862,625,918,825,1744,767,1432,460,599,629,749,921,758,451,641,839,825,633,583,660,712,16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]
K03502,39,26,48,14,88,37,90,56,56,78,60,26,77,109,62,90,114,46,37,42,21,38,40,DNA polymerase V
K03503,23,15,24,13,62,21,22,29,41,45,34,13,37,39,43,47,62,28,30,16,10,15,12,DNA polymerase V [EC:3.4.21.-]
K03504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase delta subunit 3
K03505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase delta subunit 4
K03506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase epsilon subunit 4 [EC:2.7.7.7]
K03507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA replication regulator DPB11
K03508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase zeta [EC:2.7.7.7]
K03509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase eta [EC:2.7.7.7]
K03510,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase iota [EC:2.7.7.7]
K03511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase kappa [EC:2.7.7.7]
K03512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,DNA polymerase lambda [EC:2.7.7.7 4.2.99.-]
K03513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA polymerase mu [EC:2.7.7.7]
K03514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]
K03515,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,6,0,DNA repair protein REV1 [EC:2.7.7.-]
K03516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,flagellar protein FlhE
K03517,987,763,1247,1231,1442,1060,2467,1330,2093,637,892,950,1418,1178,1531,914,1021,1418,1269,908,957,971,1088,quinolinate synthase [EC:2.5.1.72]
K03518,3190,3087,3218,3595,4888,3589,8059,3646,5967,2619,3660,3995,5325,4082,2760,2964,4180,5032,3175,2788,2585,2306,2847,carbon-monoxide dehydrogenase small subunit [EC:1.2.99.2]
K03519,2827,2594,2720,3008,4780,3207,6823,3278,5559,2656,3628,4282,5212,4251,2386,2852,4484,4783,2713,2561,2557,1922,2309,carbon-monoxide dehydrogenase medium subunit [EC:1.2.99.2]
K03520,7655,7747,5523,7972,12118,8494,17407,7844,13513,8487,8758,9769,12268,11173,3858,5164,10116,11559,9285,9655,9460,7443,8690,carbon-monoxide dehydrogenase large subunit [EC:1.2.99.2]
K03521,2534,1969,2953,2748,2762,2574,5889,3337,4594,1597,2134,2063,3139,2660,2605,1632,2482,3170,2121,1542,1583,1530,1727,electron transfer flavoprotein beta subunit
K03522,2691,1972,3066,3071,3018,2959,6300,3583,4923,1745,2110,2373,3485,2893,2714,1836,2682,3436,2333,1712,1697,1711,1954,electron transfer flavoprotein alpha subunit
K03523,256,243,352,317,264,300,675,345,518,95,138,120,264,367,444,105,198,230,287,134,111,149,221,biotin transport system substrate-specific component
K03524,928,799,1057,1228,1271,1125,2610,1218,1967,606,688,745,1150,1276,1438,688,897,1296,1198,816,749,931,1003,"BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
K03525,943,772,899,1113,1301,1100,2336,1072,1843,661,892,768,1221,1062,1235,542,949,1052,1099,740,764,918,940,type III pantothenate kinase [EC:2.7.1.33]
K03526,1793,1541,1643,1961,2228,1979,3756,1977,2878,1359,1574,1178,1999,2099,1902,948,1650,1799,2509,1593,1742,1657,2049,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
K03527,1426,1374,1391,1701,2248,1745,3736,1821,2835,1344,1498,1855,2339,2417,1775,1210,1878,1801,2128,1536,1585,1432,1805,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]
K03528,4,0,0,0,6,0,7,3,0,4,0,6,0,6,3,0,0,141,18,11,19,12,11,cell division protein ZipA
K03529,3874,2833,4147,4441,4656,4032,8352,4693,6198,2713,3129,3205,4600,4075,4796,2930,3463,4388,4364,3154,3102,3314,3807,chromosome segregation protein
K03530,1743,1635,1956,2075,2289,2273,4423,2395,3947,1043,1069,841,1652,1776,2087,822,1214,1662,1948,1237,1190,1388,1844,DNA-binding protein HU-beta
K03531,1953,1636,2248,2367,2519,2133,4485,2368,3303,1673,1791,1535,2494,2575,2466,1773,1930,3173,2664,2032,2029,2003,2205,cell division protein FtsZ
K03532,8,0,3,13,3,7,6,2,14,0,5,5,7,18,3,9,0,8,9,9,12,18,7,"trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC"
K03533,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,TorA specific chaperone
K03534,228,233,256,273,416,256,571,276,528,193,159,127,342,409,394,159,220,276,348,175,220,264,259,L-rhamnose mutarotase [EC:5.1.3.32]
K03535,420,423,688,509,562,505,1014,633,1034,302,153,73,362,281,545,126,232,247,570,264,281,440,459,"MFS transporter, ACS family, glucarate transporter"
K03536,415,312,477,453,629,497,1262,583,978,290,362,343,561,691,474,229,436,519,651,391,403,523,550,ribonuclease P protein component [EC:3.1.26.5]
K03537,5,0,20,3,0,0,9,3,0,0,19,12,22,13,93,0,30,11,0,0,0,0,0,ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]
K03538,18,7,108,29,26,7,28,46,33,8,31,13,31,9,95,74,22,53,39,41,39,36,64,ribonuclease P protein subunit POP4 [EC:3.1.26.5]
K03539,18,0,38,3,0,0,11,33,21,9,20,26,26,7,125,73,28,28,0,0,0,0,0,ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]
K03540,57,33,215,134,90,55,161,134,144,48,17,29,87,85,204,179,68,186,88,103,124,69,92,ribonuclease P protein subunit RPR2 [EC:3.1.26.5]
K03541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,photosystem II 10kDa protein
K03542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,photosystem II 22kDa protein
K03543,2421,2603,1754,2780,3004,3159,6322,2698,4551,1506,1217,614,2102,1851,3008,643,1306,2329,2301,1661,1607,1711,2082,"membrane fusion protein, multidrug efflux system"
K03544,2630,2689,2186,2775,3491,3067,5730,2585,4109,2401,2125,1681,3121,3000,2402,1368,2348,2789,3678,2967,2797,2864,3166,ATP-dependent Clp protease ATP-binding subunit ClpX
K03545,1541,1263,1404,1659,1919,1833,3390,1665,2662,1057,1183,1054,1664,1894,1666,958,1378,1489,1673,1354,1257,1395,1614,trigger factor
K03546,513,406,823,630,1056,514,1437,619,1015,657,1126,1563,1708,1220,632,1006,1422,1189,416,358,387,316,340,exonuclease SbcC
K03547,191,153,59,96,448,166,465,119,366,315,544,886,799,679,180,377,700,354,31,101,70,24,38,exonuclease SbcD
K03548,21,17,10,27,13,12,44,18,16,3,0,5,6,12,23,0,7,6,7,10,10,31,22,putative permease
K03549,971,1313,480,1041,1432,1244,2560,980,1714,1442,709,931,1284,2177,663,396,1031,1450,1892,1674,1512,1254,1387,KUP system potassium uptake protein
K03550,842,676,790,956,1171,983,2240,1053,1740,688,693,624,1088,1233,1145,531,839,1087,1210,837,792,765,900,holliday junction DNA helicase RuvA [EC:3.6.4.12]
K03551,1327,1075,1269,1478,1868,1601,3160,1653,2584,1151,1122,1106,1633,1950,1835,861,1316,1445,1868,1330,1298,1506,1676,holliday junction DNA helicase RuvB [EC:3.6.4.12]
K03552,0,0,28,4,0,0,3,32,11,7,12,18,10,5,19,7,4,5,0,3,0,1,0,"holliday junction resolvase, archaea type"
K03553,1807,1569,1760,2092,2587,2120,4139,2117,3194,1681,1779,1508,2415,2572,2422,1401,1766,1834,2685,1982,1961,2182,2303,recombination protein RecA
K03554,0,0,0,0,0,0,0,0,0,31,0,4,0,18,2,0,0,123,31,9,1,9,9,recombination associated protein RdgC
K03555,2435,1910,2325,2786,2836,2706,5757,2898,3898,1300,1441,786,2261,1904,3348,1088,1539,2319,3051,1908,1999,2189,2681,DNA mismatch repair protein MutS
K03556,4070,4373,1971,2976,8418,4039,10211,2627,7328,8235,11664,19293,15881,11956,2012,7283,14920,7174,1019,3150,3326,707,839,"LuxR family transcriptional regulator, maltose regulon positive regulatory protein"
K03557,49,35,67,50,43,47,77,35,64,21,8,11,10,51,53,0,0,117,118,80,62,65,93,"Fis family transcriptional regulator, factor for inversion stimulation protein"
K03558,389,345,397,463,446,412,954,492,792,233,163,81,262,395,442,120,208,463,555,397,373,377,422,membrane protein required for colicin V production
K03559,2169,1889,2137,2736,2515,2605,5185,2692,4092,1025,998,538,1618,1124,2849,609,1010,1690,2548,1461,1422,1962,2323,biopolymer transport protein ExbD
K03560,1530,1418,1580,1873,1683,1863,3656,1998,3079,701,743,358,1164,728,1835,376,678,1074,1693,991,1031,1195,1453,biopolymer transport protein TolR
K03561,1290,959,1210,1450,1480,1495,2801,1407,1994,820,646,375,995,973,1771,419,647,1280,1814,1189,1137,1412,1698,biopolymer transport protein ExbB
K03562,1753,1320,1787,1941,1837,1985,3769,2059,2955,894,846,414,1295,935,2137,452,822,1121,1963,1245,1304,1502,1796,biopolymer transport protein TolQ
K03563,53,56,86,94,78,76,289,70,212,48,55,48,113,338,106,78,84,210,160,117,131,108,82,carbon storage regulator
K03564,1718,1454,2360,2182,2263,2058,4670,2546,3721,1016,1227,1056,2299,1612,2452,1379,1528,2477,2036,1255,1347,1559,1749,peroxiredoxin Q/BCP [EC:1.11.1.15]
K03565,467,436,539,663,653,719,1461,694,1201,342,499,535,686,714,623,319,571,641,562,376,320,402,477,regulatory protein
K03566,244,288,146,251,382,322,612,309,472,292,117,81,194,522,69,17,117,794,571,441,418,441,456,"LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
K03567,18,11,26,20,53,27,51,18,42,41,0,4,14,79,27,17,16,225,128,68,90,128,95,glycine cleavage system transcriptional repressor
K03568,2405,1881,2708,2879,2750,2710,5843,3240,4616,1452,1800,1417,2463,1942,2927,1403,1800,2797,2602,1675,1803,2073,2520,TldD protein
K03569,2001,1850,1873,2250,2705,2296,4749,2327,3690,1744,2262,2609,2970,2841,2316,1603,2309,2214,2629,2070,1949,2236,2499,rod shape-determining protein MreB and related proteins
K03570,771,656,913,942,1167,974,1938,1084,1611,609,783,651,1057,845,1013,499,798,817,1048,584,744,825,893,rod shape-determining protein MreC
K03571,503,430,602,598,635,647,1311,780,1059,271,254,242,544,403,633,196,350,493,617,335,278,491,532,rod shape-determining protein MreD
K03572,1750,1555,1728,2209,2154,2185,4243,2339,3452,983,1245,624,1679,1332,2585,776,1264,1753,2272,1410,1461,1780,1937,DNA mismatch repair protein MutL
K03573,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,3,0,0,1,7,5,DNA mismatch repair protein MutH
K03574,1160,950,1038,1176,1986,1308,3003,1385,2264,844,1481,1830,1988,2052,1419,1219,1706,2026,1296,953,878,877,1055,8-oxo-dGTP diphosphatase [EC:3.6.1.55]
K03575,980,785,960,994,1342,1127,2441,1117,1828,607,793,771,1312,1264,1176,817,911,1457,1224,787,791,887,929,A/G-specific adenine glycosylase [EC:3.2.2.-]
K03576,51,73,52,89,102,90,208,81,135,53,19,17,49,75,39,10,12,80,108,51,67,88,88,"LysR family transcriptional regulator, regulator for metE and metH"
K03577,68,15,79,39,49,63,94,68,62,22,11,2,56,42,96,19,30,39,40,35,31,34,71,"TetR/AcrR family transcriptional regulator, acrAB operon repressor"
K03578,406,396,135,287,980,363,896,305,647,775,1138,1812,1490,1294,254,612,1179,889,433,513,410,373,350,ATP-dependent helicase HrpA [EC:3.6.4.13]
K03579,347,330,250,304,630,510,887,375,634,364,266,163,465,788,447,200,257,798,830,624,608,649,812,ATP-dependent helicase HrpB [EC:3.6.4.13]
K03580,8,8,25,5,45,8,28,19,41,6,12,24,17,20,8,12,25,93,58,8,34,26,22,ATP-dependent helicase HepA [EC:3.6.4.-]
K03581,2328,2429,1177,2216,2467,2655,5551,2690,4460,1499,1755,1622,2491,1905,1503,1140,2319,2083,830,1111,937,520,765,exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
K03582,132,81,134,132,144,149,280,155,274,133,83,47,155,442,190,86,107,288,148,123,188,122,114,exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
K03583,99,72,70,95,101,108,276,121,192,125,67,54,214,384,122,57,119,173,128,106,107,93,111,exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
K03584,821,822,839,918,1144,986,2160,1192,1690,628,758,902,1131,1246,946,608,871,963,1083,756,767,792,900,DNA repair protein RecO (recombination protein O)
K03585,1482,1383,1108,1804,1686,1902,4032,1771,3173,679,647,327,1159,1118,1733,445,765,1445,1901,1179,1089,1363,1518,"membrane fusion protein, multidrug efflux system"
K03586,11,10,3,12,35,21,33,20,27,20,0,0,5,39,4,0,0,119,91,47,45,70,78,cell division protein FtsL
K03587,1730,1472,1610,1957,2231,2002,3941,2065,2932,1206,1340,1242,2026,2158,1906,959,1472,1822,1959,1523,1454,1510,1855,cell division protein FtsI (penicillin-binding protein 3)
K03588,1302,1115,1395,1572,1663,1459,3167,1490,2513,1018,1097,1066,1579,1731,1606,786,1142,1370,1705,1307,1340,1399,1494,cell division protein FtsW
K03589,769,642,667,917,984,930,1878,896,1473,538,570,631,870,939,814,404,720,798,819,585,507,650,652,cell division protein FtsQ
K03590,1283,934,1234,1492,1510,1458,2565,1527,2138,687,814,380,1015,1074,1512,519,739,1143,1939,1131,1331,1432,1645,cell division protein FtsA
K03591,4,0,7,0,0,0,9,0,6,5,0,0,0,0,2,0,0,0,0,0,3,0,2,cell division protein FtsN
K03592,966,639,1259,1247,1039,1046,2172,1365,1934,528,425,273,788,712,1439,481,505,1147,1281,833,807,963,1161,PmbA protein
K03593,1378,1246,1588,1669,1758,1722,3552,1887,2813,1082,1206,1255,2003,1890,1908,1084,1502,1814,1990,1357,1471,1433,1783,ATP-binding protein involved in chromosome partitioning
K03594,1138,970,1556,1324,1110,1429,2840,1582,2431,550,575,313,1098,691,1282,401,663,1027,1030,701,669,742,900,bacterioferritin [EC:1.16.3.1]
K03595,1048,984,1098,1306,1458,1379,2794,1300,2053,744,777,910,1197,1444,1300,556,1008,1122,1228,931,908,967,1064,GTPase
K03596,2534,2145,2443,2720,3256,2739,5450,2714,4251,2370,2202,1945,2952,3217,2905,1346,2199,2301,3853,2752,2839,2909,3232,GTP-binding protein LepA
K03597,22,4,5,11,26,14,18,6,18,8,0,0,0,24,5,0,0,67,49,21,17,22,47,sigma-E factor negative regulatory protein RseA
K03598,97,91,16,61,198,76,247,54,137,165,220,343,312,239,50,131,232,223,140,103,133,119,138,sigma-E factor negative regulatory protein RseB
K03599,58,31,57,48,42,71,104,55,73,75,6,17,12,96,38,4,13,185,331,178,177,290,236,RNA polymerase-associated protein
K03600,18,4,4,13,33,17,33,19,24,28,9,0,5,40,5,3,3,154,147,78,97,115,94,stringent starvation protein B
K03601,1308,1106,1360,1595,1745,1652,3306,1717,2500,975,1081,1070,1591,1667,1627,786,1235,1394,1650,1415,1286,1248,1513,exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
K03602,579,586,665,710,881,775,1504,711,1372,394,416,459,807,829,784,402,585,704,730,475,479,563,658,exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
K03603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,"GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA"
K03604,17,8,26,10,11,11,40,22,39,0,6,0,21,9,39,20,3,10,9,2,3,11,15,"LacI family transcriptional regulator, purine nucleotide synthesis repressor"
K03605,1089,949,924,1101,1590,1295,2547,1165,2141,662,873,1023,1379,952,1123,882,1020,1160,593,411,408,432,562,hydrogenase maturation protease [EC:3.4.23.-]
K03606,185,232,161,223,316,261,598,230,368,160,48,37,128,198,208,92,62,308,378,313,267,272,300,putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase
K03607,8,12,0,0,0,20,20,2,11,26,9,12,5,0,0,3,8,6,4,17,14,4,5,ProP effector
K03608,87,98,49,75,152,114,240,78,174,83,47,44,83,117,15,59,99,224,93,107,81,50,71,cell division topological specificity factor
K03609,196,217,187,184,287,259,395,221,336,212,164,123,193,275,274,138,252,372,173,257,212,147,142,septum site-determining protein MinD
K03610,134,175,79,127,209,168,343,128,224,114,89,73,112,214,52,96,133,311,105,184,131,112,109,septum site-determining protein MinC
K03611,69,48,55,67,89,66,133,70,101,67,40,24,22,181,76,43,18,256,155,127,125,144,147,disulfide bond formation protein DsbB
K03612,12,11,15,11,35,17,16,0,12,49,6,5,9,21,11,8,0,4,40,12,11,13,23,electron transport complex protein RnfG
K03613,15,13,20,17,28,15,32,11,10,67,13,10,38,23,26,1,4,8,28,14,12,19,44,electron transport complex protein RnfE
K03614,21,14,25,18,72,11,44,11,12,60,9,26,39,15,34,24,23,8,34,20,12,20,42,electron transport complex protein RnfD
K03615,24,29,33,35,96,41,55,19,14,82,12,33,52,38,62,21,22,7,76,34,27,35,48,electron transport complex protein RnfC
K03616,30,14,24,13,74,30,99,29,86,54,16,29,64,55,48,4,38,131,130,93,84,76,75,electron transport complex protein RnfB
K03617,29,14,26,11,27,10,27,18,21,47,12,4,33,28,39,2,12,3,23,20,19,27,53,electron transport complex protein RnfA
K03618,6,5,4,0,11,7,26,14,23,12,0,0,3,0,0,3,3,3,10,5,0,4,11,hydrogenase-1 operon protein HyaF
K03619,0,0,0,0,0,0,5,0,4,3,0,0,3,0,0,0,0,0,2,0,0,0,0,hydrogenase-1 operon protein HyaE
K03620,474,399,449,578,475,529,973,534,870,204,231,103,352,179,552,139,223,184,206,103,96,127,187,Ni/Fe-hydrogenase 1 B-type cytochrome subunit
K03621,1211,977,1356,1411,1631,1401,3002,1417,2250,794,905,682,1377,1366,1372,646,1070,1224,1601,1090,1092,1162,1458,glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]
K03622,181,61,643,329,240,129,383,339,216,74,116,73,176,22,397,355,163,555,258,147,148,187,176,archaea-specific DNA-binding protein
K03623,0,0,9,0,3,4,6,5,9,0,0,0,0,0,0,0,0,5,0,0,0,2,0,ribonuclease inhibitor
K03624,992,906,1024,1034,1332,1174,2326,1138,1888,778,847,920,1286,1424,959,679,1038,1177,1239,947,900,861,1122,transcription elongation factor GreA
K03625,760,639,779,818,968,985,1895,961,1543,463,596,515,901,1021,933,473,656,817,886,636,663,608,862,N utilization substance protein B
K03626,87,32,323,181,95,67,220,182,158,43,43,27,153,8,245,267,102,350,77,61,75,61,67,nascent polypeptide-associated complex subunit alpha
K03627,58,14,177,86,48,50,147,136,114,14,32,34,98,3,161,189,74,267,12,13,5,6,12,putative transcription factor
K03628,2335,2105,2139,2637,3109,2543,5031,2414,3720,2162,2422,2463,3052,2867,2711,1411,2549,2341,3494,2471,2502,2674,2932,transcription termination factor Rho
K03629,376,344,252,429,901,331,956,371,772,487,660,880,925,1305,482,606,873,1041,804,732,614,586,659,DNA replication and repair protein RecF
K03630,199,178,335,273,592,329,563,311,522,227,210,150,436,514,552,324,386,622,676,424,494,618,653,DNA repair protein RadC
K03631,1219,951,1238,1366,1752,1333,2921,1583,2442,1002,1130,1249,1701,1899,1366,934,1319,1627,1743,1312,1337,1417,1458,DNA repair protein RecN (Recombination protein N)
K03632,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,3,0,0,chromosome partition protein MukB
K03633,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,chromosome partition protein MukF
K03634,479,440,502,497,546,592,1167,603,982,179,171,95,265,178,532,95,178,331,528,266,231,362,424,outer membrane lipoprotein carrier protein
K03635,898,752,1026,1099,1172,1091,2537,1161,1721,505,692,669,1083,1117,1263,641,871,1117,1158,691,767,729,888,molybdopterin synthase catalytic subunit [EC:2.8.1.12]
K03636,399,360,564,518,527,493,1067,547,797,275,248,160,422,381,620,423,368,603,550,368,365,433,531,molybdopterin synthase sulfur carrier subunit
K03637,893,687,1071,1070,1156,983,2310,1238,1733,572,804,703,1204,1201,1121,783,829,1179,999,714,623,784,886,cyclic pyranopterin phosphate synthase [EC:4.1.99.18]
K03638,262,196,441,346,291,265,552,420,441,143,140,93,291,394,345,306,243,582,348,301,310,294,324,molybdenum cofactor biosynthesis protein B
K03639,1570,1260,1741,1766,1944,1750,3559,2010,2690,1049,1232,1148,1939,1618,1851,1129,1397,1941,1717,1320,1253,1337,1495,cyclic pyranopterin phosphate synthase [EC:4.1.99.18]
K03640,1013,966,1123,1372,1506,1294,2508,1266,2083,534,558,295,781,598,1318,256,456,964,1365,825,800,1040,1206,peptidoglycan-associated lipoprotein
K03641,1575,1379,1614,1760,1775,1881,3687,1937,2834,841,947,583,1455,1098,1722,521,1037,1346,1989,1274,1151,1512,1742,TolB protein
K03642,1476,1257,1458,1645,1535,1803,3627,1720,3032,763,534,330,924,959,1183,324,674,1351,1433,1114,929,1119,1405,rare lipoprotein A
K03643,120,129,88,124,179,124,228,127,186,108,45,28,54,236,78,24,65,311,236,166,196,204,252,LPS-assembly lipoprotein
K03644,1401,1052,1602,1659,1845,1646,3380,1732,2789,977,1091,1007,1714,1728,1696,1083,1276,1939,1862,1266,1271,1335,1601,lipoic acid synthetase [EC:2.8.1.8]
K03645,8,0,6,3,0,2,3,4,8,0,5,0,0,0,0,4,0,0,0,0,0,0,0,negative modulator of initiation of replication
K03646,410,358,175,283,441,380,853,283,600,371,323,399,384,527,280,219,410,533,581,496,476,422,530,colicin import membrane protein
K03647,6,9,0,3,7,10,15,3,4,12,8,11,14,44,0,9,6,6,0,26,0,0,0,protein involved in ribonucleotide reduction
K03648,143,139,82,104,341,110,312,109,222,228,333,547,481,613,134,242,449,345,129,144,143,108,95,uracil-DNA glycosylase [EC:3.2.2.27]
K03649,371,327,267,376,578,378,791,317,637,315,432,509,552,438,434,272,438,454,288,211,234,234,276,TDG/mug DNA glycosylase family protein [EC:3.2.2.-]
K03650,780,597,1024,894,963,927,1814,1060,1780,431,443,237,768,731,1145,339,497,879,1221,766,750,970,1117,tRNA modification GTPase [EC:3.6.-.-]
K03651,5,3,8,12,9,12,22,11,14,20,6,9,21,51,4,0,2,48,78,44,56,82,42,Icc protein
K03652,836,681,841,940,1029,910,2149,999,1723,563,662,578,1010,1051,1021,522,860,1074,955,652,707,649,825,DNA-3-methyladenine glycosylase [EC:3.2.2.21]
K03653,2,2,67,8,3,0,16,22,9,8,0,2,0,3,9,13,0,13,7,0,5,5,6,N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K03654,1474,1271,1045,1476,2474,1558,2989,1387,2546,1304,1976,2391,2497,2564,1852,1398,2374,1692,1574,1172,1271,1140,1250,ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
K03655,2046,1723,2154,2419,2909,2496,5222,2595,3964,1431,1809,1842,2651,2758,2876,1470,2252,2241,2603,1838,1808,1946,2251,ATP-dependent DNA helicase RecG [EC:3.6.4.12]
K03656,60,31,99,89,124,61,116,72,85,47,17,25,57,55,135,72,18,164,128,61,48,75,85,ATP-dependent DNA helicase Rep [EC:3.6.4.12]
K03657,4925,4423,4466,5606,7501,5576,11926,5397,8784,4406,5374,6001,7760,7333,5347,3648,6273,5560,5284,4321,4481,4287,4638,DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
K03658,18,11,36,24,21,39,109,24,78,30,32,136,65,52,12,38,49,51,2,11,5,2,2,DNA helicase IV [EC:3.6.4.12]
K03660,106,55,360,199,109,75,271,202,193,56,64,53,150,52,381,179,92,274,204,121,127,169,219,N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K03661,0,0,6,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,V-type H+-transporting ATPase 21kDa proteolipid subunit
K03662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V-type H+-transporting ATPase S1 subunit
K03663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase [EC:2.4.1.152]
K03664,878,813,934,972,1200,989,2133,1023,1670,641,825,806,1073,1203,1028,513,883,939,1070,771,736,809,969,SsrA-binding protein
K03665,1522,1151,1952,1889,2296,1728,3715,2142,2768,1233,1290,1218,1951,1894,1865,1129,1500,1988,2097,1503,1471,1493,1853,GTPase
K03666,555,471,635,654,652,711,1469,821,1259,282,252,126,424,424,675,135,242,542,641,402,348,517,541,host factor-I protein
K03667,1650,1201,1548,1885,1731,1846,3584,1915,2794,981,991,515,1331,1187,1906,578,857,1250,2396,1433,1483,1789,1909,ATP-dependent HslUV protease ATP-binding subunit HslU
K03668,9,19,0,12,35,13,15,6,29,0,31,11,24,16,5,16,26,10,0,2,0,0,0,heat shock protein HslJ
K03669,93,68,50,99,176,129,218,109,194,115,67,33,154,244,188,103,91,188,428,265,292,290,340,membrane glycosyltransferase [EC:2.4.1.-]
K03670,110,148,48,146,276,186,436,163,283,150,82,46,155,307,159,95,82,274,447,252,309,350,345,periplasmic glucans biosynthesis protein
K03671,1164,932,1597,1330,1637,1284,2759,1509,2258,975,1168,1427,1772,1835,1675,1410,1540,2119,1545,1187,1068,1116,1235,thioredoxin 1
K03672,198,195,96,157,406,241,456,173,314,325,314,540,455,488,95,189,450,389,344,345,241,305,368,thioredoxin 2 [EC:1.8.1.8]
