KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	Fxn
K03604	56	46	56	68	52	71	36	65	54	52	58	62	240	172	194	131	81	84	4	22	102	165	120	122	"LacI family transcriptional regulator, purine nucleotide synthesis repressor"
K03605	562	412	392	500	650	934	797	1094	1001	999	821	854	522	431	578	681	427	329	42	259	448	750	554	292	hydrogenase maturation protease [EC:3.4.23.-]
K03606	917	869	719	640	765	1251	522	688	577	623	549	683	482	500	523	499	395	237	26	92	440	592	445	352	putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase
K03607	5	3	1	4	4	7	4	1	2	0	5	3	65	28	17	19	20	16	0	16	12	24	3	6	ProP effector
K03608	147	104	72	73	90	144	39	76	64	54	67	79	456	349	303	288	198	145	21	60	212	297	260	158	cell division topological specificity factor
K03609	323	337	301	261	261	361	192	361	481	833	310	952	1229	791	1487	768	1042	931	43	9700	1243	1674	783	591	septum site-determining protein MinD
K03610	217	211	180	132	164	192	76	162	99	126	113	136	539	467	423	397	227	187	29	96	270	432	346	220	septum site-determining protein MinC
K03611	562	462	384	358	435	449	458	551	451	438	367	388	523	519	652	651	463	437	34	680	420	843	501	271	disulfide bond formation protein DsbB
K03612	755	409	393	425	522	952	997	1139	1171	1042	1017	718	1380	1199	1119	1316	735	535	176	261	791	1269	1044	665	electron transport complex protein RnfG
K03613	833	497	499	611	616	1140	1255	1511	1480	1341	1219	913	1213	1170	1102	1188	884	531	32	277	946	1351	1120	770	electron transport complex protein RnfE
K03614	1149	720	778	850	848	1349	1581	1883	1971	1794	1703	1198	1719	1588	1494	1501	1097	675	55	471	1288	1767	1530	976	electron transport complex protein RnfD
K03615	1389	934	964	1038	1225	1548	1927	2324	2345	2163	2055	1509	1863	1995	1767	1848	1410	779	32	582	1612	2072	1880	1245	electron transport complex protein RnfC
K03616	525	363	330	377	499	800	526	681	623	600	526	523	805	842	707	830	559	440	57	196	509	915	693	359	electron transport complex protein RnfB
K03617	816	484	498	611	634	1063	1243	1397	1267	1219	1271	930	1251	1217	1062	1084	844	555	5	328	833	1327	1119	765	electron transport complex protein RnfA
K03618	125	63	94	48	91	93	208	260	226	116	154	119	326	267	287	411	321	220	29	37	163	380	264	141	hydrogenase-1 operon protein HyaF
K03619	48	27	25	4	10	8	55	71	54	33	41	16	56	55	78	104	44	50	0	13	30	129	42	54	hydrogenase-1 operon protein HyaE
K03620	263	173	191	214	265	426	300	376	373	374	332	224	170	106	130	219	146	84	14	49	91	241	114	78	Ni/Fe-hydrogenase 1 B-type cytochrome subunit
K03621	2003	1756	1666	1539	1888	2084	1349	1675	1588	1658	1561	1512	2191	2034	2245	2303	1501	1203	50	552	1607	2882	1736	1227	glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]
K03622	26	189	43	80	67	38	40	66	60	72	74	80	13	20	19	34	30	22	34	134	44	58	12	9	archaea-specific DNA-binding protein
K03623	15	5	1	3	3	0	0	2	0	0	1	4	29	50	16	25	15	29	3	0	2	27	2	4	ribonuclease inhibitor
K03624	1752	1432	1164	1180	1283	1864	1130	1523	1399	1340	1294	1210	2477	2337	2292	2668	1504	1389	37	482	1491	2804	1716	1182	transcription elongation factor GreA
K03625	1481	1122	948	936	1114	1474	927	1284	1243	1120	1045	1144	2057	2281	1970	2223	1367	1317	104	404	1399	2679	1570	1068	N utilization substance protein B
K03626	16	88	29	58	32	34	30	47	75	154	30	166	137	91	233	74	174	157	16	1896	197	259	94	85	nascent polypeptide-associated complex subunit alpha
K03627	2	4	6	15	5	14	24	38	71	172	26	136	143	85	212	63	200	241	38	2032	182	249	70	76	putative transcription factor
K03628	3835	3350	3035	2681	2914	3278	2776	3541	3441	3464	3190	3054	4587	4413	4166	4290	3208	2537	288	1058	3241	5184	3659	2379	transcription termination factor Rho
K03629	2198	1731	1562	1301	1705	2074	1267	1653	1358	1443	1299	1295	2941	2845	2756	2933	1974	1473	136	591	1913	3517	2191	1479	DNA replication and repair protein RecF
K03630	2002	1945	1735	1529	1757	2156	1607	2255	1941	1977	1955	1810	3348	3488	3134	3490	2184	1722	187	825	2330	3845	2720	1839	DNA repair protein RadC
K03631	3524	2845	2794	2503	2908	3265	2284	2960	3028	2855	2749	2418	4007	4003	3625	3722	2600	1988	45	828	2840	4731	3133	2017	DNA repair protein RecN (Recombination protein N)
K03632	40	62	40	34	43	61	33	37	28	29	46	17	22	19	39	39	27	17	0	21	54	60	43	27	chromosome partition protein MukB
K03633	12	23	23	13	23	26	10	10	14	12	9	11	2	1	8	9	7	7	0	3	12	13	16	0	chromosome partition protein MukF
K03634	519	415	327	399	456	804	603	695	664	577	588	532	684	646	579	617	486	367	39	113	386	584	486	192	outer membrane lipoprotein carrier protein
K03635	1266	1193	1014	864	1156	1158	572	909	809	846	689	937	1164	963	1499	1235	1011	920	53	3999	981	2027	1013	657	molybdopterin synthase catalytic subunit [EC:2.8.1.12]
K03636	787	735	492	400	663	841	345	570	494	660	335	636	1111	862	1255	1052	821	771	18	3784	788	1638	752	584	molybdopterin synthase sulfur carrier subunit
K03637	1459	1269	1159	1046	1288	1419	964	1355	1208	1325	1084	1181	1654	1625	1777	1698	1134	982	24	2353	1103	2295	1298	873	cyclic pyranopterin phosphate synthase [EC:4.1.99.18]
K03638	685	731	689	431	696	528	390	579	568	559	443	485	1131	872	1289	1239	1001	852	8	3736	866	1561	920	479	molybdenum cofactor biosynthesis protein B
K03639	2441	2298	2138	1824	2149	2262	1817	2343	2266	2294	2162	1963	2158	2040	2503	2253	1703	1646	139	4319	1791	3270	1829	1278	cyclic pyranopterin phosphate synthase [EC:4.1.99.18]
K03640	1290	1175	987	926	1103	1430	1223	1464	1479	1345	1366	1162	1769	1887	2056	1922	1369	989	186	320	1339	1947	1707	873	peptidoglycan-associated lipoprotein
K03641	3526	4046	3354	2581	3296	3305	2668	3358	3045	2983	3056	2290	2939	2525	2738	2824	2142	1750	430	580	1959	3325	2303	1239	TolB protein
K03642	907	859	767	812	1117	1534	908	1397	1136	1076	1065	1069	1079	941	963	933	787	529	234	243	811	970	1008	434	rare lipoprotein A
K03643	286	310	222	153	265	239	145	224	170	108	115	160	705	697	771	828	578	552	12	106	435	1248	609	366	LPS-assembly lipoprotein
K03644	2782	2346	2126	1896	2220	2551	1804	2495	2410	2535	2044	2270	2887	2676	3047	2972	2211	1908	53	3524	2288	3846	2666	1597	lipoic acid synthetase [EC:2.8.1.8]
K03645	2	1	4	6	0	3	0	3	1	1	2	0	3	2	0	3	1	0	0	0	0	1	3	3	negative modulator of initiation of replication
K03646	840	895	622	570	770	745	688	960	764	770	779	693	809	658	665	799	594	468	408	143	614	1041	728	333	colicin import membrane protein
K03647	3	1	2	1	4	5	0	1	0	0	0	2	1	0	14	2	0	0	0	0	7	16	4	5	protein involved in ribonucleotide reduction
K03648	860	494	426	323	369	505	383	438	406	393	408	284	1430	1685	1177	1269	889	620	69	141	718	1131	1006	628	uracil-DNA glycosylase [EC:3.2.2.27]
K03649	256	214	173	178	233	278	153	253	133	112	153	213	268	232	217	244	176	127	24	37	149	360	150	111	TDG/mug DNA glycosylase family protein [EC:3.2.2.-]
K03650	2506	2079	2090	1959	2176	2601	2048	2536	2472	2492	2375	2187	4342	4431	3753	4202	2697	2177	92	869	2753	4705	3405	1990	tRNA modification GTPase [EC:3.6.-.-]
K03651	462	322	261	172	285	355	327	411	315	243	271	234	428	469	427	537	461	333	14	77	334	489	474	181	Icc protein
K03652	663	607	514	581	640	910	312	453	355	377	309	665	1093	1272	1012	947	736	522	48	219	780	1049	745	490	DNA-3-methyladenine glycosylase [EC:3.2.2.21]
K03653	17	18	18	55	43	56	41	37	48	58	33	24	35	77	28	31	33	15	6	85	106	76	49	44	N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K03654	6280	5199	4905	3908	4531	5039	3904	4919	4819	4653	4565	4237	6356	7359	7384	6811	4725	3357	382	1790	5935	9077	6642	4473	ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
K03655	5029	4519	4315	4191	4582	5380	3356	4359	4186	4323	4156	4122	6609	7795	7013	7320	4603	3088	459	1943	6103	8976	6098	4434	ATP-dependent DNA helicase RecG [EC:3.6.4.12]
K03656	494	326	296	318	433	707	412	542	425	350	378	401	975	958	749	988	882	556	20	129	503	699	877	318	ATP-dependent DNA helicase Rep [EC:3.6.4.12]
K03657	8688	7897	7197	6809	7362	7823	6888	8507	8162	8487	8110	7804	9548	10091	10061	9512	7140	4894	816	10475	8201	12252	8346	5706	DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
K03658	314	216	173	118	161	134	163	191	184	203	171	149	1544	1567	1225	1269	1021	1028	61	1289	606	923	669	350	DNA helicase IV [EC:3.6.4.12]
K03660	104	149	81	91	111	135	46	114	128	290	90	314	458	436	484	296	321	338	24	3435	348	562	196	184	N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
K03661	2	0	2	0	1	1	3	1	1	0	0	2	1	0	0	1	2	2	26	0	0	3	1	0	V-type H+-transporting ATPase 21kDa proteolipid subunit
K03664	1549	1384	1261	1128	1405	1787	1157	1437	1361	1397	1284	1350	2314	2400	2153	2279	1551	1390	33	437	1526	3065	1885	1175	SsrA-binding protein
K03665	3045	2751	2528	2162	2658	2779	2209	2810	2800	2828	2519	2656	3274	3040	3850	3306	2643	2028	101	5595	2776	4707	2767	1919	GTPase
K03666	499	450	391	300	471	427	287	415	348	290	255	323	1008	922	878	1022	640	576	21	112	542	1097	650	435	host factor-I protein
K03667	2148	2184	2002	1795	2132	2441	1726	2262	2140	2026	1925	1777	3081	2471	2674	3115	1994	1612	54	671	1833	3678	2267	1329	ATP-dependent HslUV protease ATP-binding subunit HslU
K03668	88	30	32	15	15	25	38	49	21	24	22	22	94	106	157	137	90	96	32	18	72	290	65	25	heat shock protein HslJ
K03669	595	477	465	306	473	386	73	191	121	174	93	325	582	588	1112	934	575	600	19	195	560	1693	715	404	membrane glycosyltransferase [EC:2.4.1.-]
K03670	491	420	393	324	445	463	70	226	101	140	82	436	440	427	833	826	450	422	13	140	472	1386	522	387	periplasmic glucans biosynthesis protein
K03671	2397	1940	1522	1845	1791	3037	1964	2585	2695	2801	2413	2561	4148	4182	4062	3714	2594	2488	393	7179	2792	4937	2868	2088	thioredoxin 1
K03672	364	247	203	321	405	636	334	490	432	386	425	350	233	217	253	212	172	140	10	60	216	345	320	120	thioredoxin 2 [EC:1.8.1.8]
K03673	363	352	299	234	345	422	327	414	271	245	203	162	445	374	395	440	329	266	53	78	247	390	347	135	thiol:disulfide interchange protein DsbA
K03674	12	4	4	1	2	2	3	0	0	4	2	0	81	75	31	29	56	48	0	28	48	28	55	10	glutaredoxin 1
K03675	2	5	6	5	1	2	2	23	5	11	4	15	58	2	7	6	10	4	0	7	6	11	3	5	glutaredoxin 2
K03676	385	339	330	282	408	575	280	392	346	317	257	256	751	729	878	911	579	549	25	219	442	1198	649	383	glutaredoxin 3
K03678	1	0	0	2	1	0	2	5	1	5	4	0	0	1	0	0	2	0	14	0	1	8	2	1	exosome complex component RRP45
K03679	19	92	32	89	28	67	42	70	62	80	69	42	58	64	40	41	36	30	8	171	104	84	34	24	exosome complex component RRP4
K03680	14	26	17	43	47	128	36	60	109	244	46	239	278	151	441	118	323	275	18	3496	327	439	205	103	translation initiation factor eIF-2B subunit delta
K03681	2	0	0	0	1	1	2	0	0	1	0	2	0	0	0	0	0	0	0	0	1	3	0	1	exosome complex component RRP40
K03683	329	305	262	181	240	269	309	374	243	220	240	266	417	341	370	402	298	255	6	90	229	362	347	143	ribonuclease T [EC:3.1.13.-]
K03684	2171	1937	1784	1187	1820	1676	1124	1469	1331	1280	1255	1038	1915	1801	2398	2341	1529	1391	42	400	1622	3465	1886	1099	ribonuclease D [EC:3.1.13.5]
K03685	1905	1499	1357	1322	1547	1931	1320	1711	1592	1614	1526	1563	2549	2639	2364	2494	1547	1319	105	596	1736	3005	1914	1421	ribonuclease III [EC:3.1.26.3]
K03686	3848	3547	3092	3107	3469	3625	2772	3626	3520	3655	3434	3127	3621	3999	4209	3952	2860	2172	474	5274	3433	5698	3324	2308	molecular chaperone DnaJ
K03687	1714	1506	1217	1205	1430	1844	1245	1640	1700	1749	1496	1555	2595	2498	2389	2506	1688	1549	219	2947	1848	3281	1942	1342	molecular chaperone GrpE
K03688	2755	2372	2376	1993	2442	2275	2438	2872	2908	2644	2783	2293	2635	2212	2803	2784	2006	1423	60	827	2124	3456	2649	1476	ubiquinone biosynthesis protein
K03689	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	28	0	12	cytochrome b6-f complex subunit 8
K03690	218	151	102	126	182	215	220	264	186	176	150	209	257	204	200	245	145	198	18	39	125	329	210	89	ubiquinone biosynthesis protein UbiJ
K03691	0	0	2	1	0	0	1	0	0	0	0	0	0	7	0	8	7	0	0	0	0	1	0	1	peptide-O-fucosyltransferase [EC:2.4.1.221]
K03692	177	82	106	65	96	81	17	40	47	45	16	13	135	129	270	324	164	83	1	47	185	690	330	120	glucosylglycerol-phosphate synthase [EC:2.4.1.213]
K03693	30	15	19	13	32	15	9	15	19	18	21	43	55	33	20	4	37	10	24	8	23	49	53	15	penicillin-binding protein
K03694	2630	2630	2594	1873	2314	2205	2079	2383	2431	2125	2237	1611	2218	2182	2877	2659	1752	1438	40	971	2077	3689	2663	1361	ATP-dependent Clp protease ATP-binding subunit ClpA
K03695	6106	5603	5203	4747	5008	5205	4483	5512	5312	5236	5220	4502	6613	6281	6395	6798	4441	3399	371	1786	4965	7889	5455	3555	ATP-dependent Clp protease ATP-binding subunit ClpB
K03696	4317	4084	3564	3391	3161	3302	3068	3596	3375	3579	3580	2950	3364	4158	3329	3464	2072	1450	285	1228	3142	4291	2787	2364	ATP-dependent Clp protease ATP-binding subunit ClpC
K03697	30	13	22	15	24	29	22	23	31	32	37	33	197	494	141	200	47	27	7	17	61	106	59	64	ATP-dependent Clp protease ATP-binding subunit ClpE
K03698	574	381	482	614	519	721	676	753	925	783	790	802	561	763	559	527	321	180	84	189	445	841	355	365	3'-5' exoribonuclease [EC:3.1.-.-]
K03699	1296	1270	1157	1050	1147	1410	1329	1573	1583	1528	1574	1216	834	978	820	897	633	462	44	354	773	1284	782	464	putative hemolysin
K03700	17	0	0	5	0	3	1	7	7	1	2	2	88	109	46	42	29	12	0	11	35	50	22	26	recombination protein U
K03701	10396	9997	9390	8648	9045	9212	8178	10175	9910	9886	9601	8982	10616	10783	10527	10422	7806	5715	242	12266	9653	12769	9236	6194	excinuclease ABC subunit A
K03702	4940	4628	4074	3717	4139	4221	3606	4340	4359	4662	4143	3969	5924	5927	5596	5571	4177	3473	98	8473	4698	7582	4642	3073	excinuclease ABC subunit B
K03703	4474	3972	3867	3382	3723	4131	3163	3982	3972	4038	3615	3631	4864	5151	5676	5199	3792	2826	212	6807	4077	6515	4058	2704	excinuclease ABC subunit C
K03704	3188	2817	2205	2254	2652	3492	2981	3851	3813	3896	3290	3412	5942	5064	5667	5247	3881	4148	315	8616	3722	7328	3873	2528	"cold shock protein (beta-ribbon, CspA family)"
K03705	1646	1565	1408	1253	1643	1848	899	1263	1197	1010	975	973	1803	1476	1768	1906	933	996	40	426	984	2466	1041	959	heat-inducible transcriptional repressor
K03706	27	1	2	5	2	6	0	5	7	6	6	23	386	379	274	300	164	128	6	62	132	273	126	138	transcriptional pleiotropic repressor
K03707	222	279	257	151	260	160	72	138	155	320	112	378	845	663	996	788	819	803	15	2002	657	1473	631	361	thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
K03708	0	0	0	4	1	1	1	10	1	2	2	26	352	427	219	297	117	115	2	36	99	264	94	140	transcriptional regulator of stress and heat shock response
K03709	1482	1132	988	969	1010	1428	1126	1310	1382	1493	1092	1289	1441	1347	1491	1154	1013	872	133	3673	1099	1779	1086	811	"DtxR family transcriptional regulator, Mn-dependent transcriptional regulator"
K03710	1434	941	788	915	794	1168	894	1396	1226	1265	1229	1167	2269	2219	2056	2121	1239	941	231	487	1216	2891	1378	1457	GntR family transcriptional regulator
K03711	1920	1431	1262	1192	1414	2042	1246	1866	1724	1666	1631	1592	2795	2903	2413	2525	1838	1569	96	476	1866	3253	2058	1502	"Fur family transcriptional regulator, ferric uptake regulator"
K03712	0	1	2	0	1	0	1	2	1	0	6	1	0	0	0	0	0	0	14	0	3	0	2	0	"MarR family transcriptional regulator, multiple antibiotic resistance protein MarR"
K03713	0	1	2	4	0	1	1	3	3	0	5	7	28	57	65	50	16	24	7	6	26	65	57	35	"MerR family transcriptional regulator, glutamine synthetase repressor"
K03714	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	glycoprotein 2-beta-D-xylosyltransferase [EC:2.4.2.38]
K03715	144	129	114	133	108	209	59	123	84	73	105	82	51	46	53	74	23	22	6	18	20	60	23	49	"1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]"
K03716	220	210	193	302	216	368	636	736	736	673	744	608	363	370	344	323	190	87	93	146	375	577	414	286	spore photoproduct lyase [EC:4.1.99.14]
K03717	686	402	434	307	318	307	498	584	542	434	457	349	702	814	1077	1042	668	609	5	192	735	1576	1011	537	"LysR family transcriptional regulator, transcriptional activator of nhaA"
K03718	585	452	280	386	351	597	659	827	860	902	710	796	730	659	925	686	510	500	50	3930	658	966	553	512	"Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"
K03719	1452	1222	932	725	933	1174	660	912	850	813	688	714	1867	2050	2053	2138	1230	1349	150	392	1141	2844	1428	1025	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
K03720	29	5	6	15	7	25	30	36	75	52	54	25	40	52	51	38	32	12	7	10	61	101	101	35	"TrpR family transcriptional regulator, trp operon repressor"
K03721	157	129	147	111	103	145	227	240	213	273	275	214	113	207	131	121	71	45	7	38	95	147	138	68	"transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport"
K03722	2708	2575	2460	2189	2605	2656	2042	2612	2382	2196	2078	1883	2192	1681	2017	1789	1435	888	231	596	1662	2119	1833	1068	ATP-dependent DNA helicase DinG [EC:3.6.4.12]
K03723	6724	5850	5725	4880	5528	5365	4396	5605	5436	5515	5534	4456	6396	6577	6746	6645	4442	3189	194	1724	5044	7815	5392	3583	transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]
K03724	4685	5117	4728	3591	4583	3299	1970	2645	2551	3079	2143	2962	4873	4057	5856	4671	4219	3747	135	17096	4138	6970	3958	2394	ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]
K03725	5	10	10	18	10	12	19	69	159	410	33	372	356	202	693	187	486	516	14	6461	491	696	258	184	archaea-specific helicase [EC:3.6.1.-]
K03726	78	239	133	256	128	191	219	253	455	783	248	760	704	457	881	427	810	725	86	13678	904	1158	447	388	helicase [EC:3.6.4.-]
K03727	491	229	184	123	150	159	76	119	61	73	86	74	49	32	83	65	39	48	24	45	106	274	78	119	ATP-dependent RNA helicase HelY [EC:3.6.4.-]
K03731	0	0	0	0	0	1	6	0	5	3	1	4	3	1	2	3	1	0	0	1	2	0	0	2	trehalose 6-phosphate phosphorylase [EC:2.4.1.216]
K03732	797	565	537	672	707	1037	978	1293	1206	1042	1103	882	696	571	593	623	582	336	37	229	609	834	750	423	ATP-dependent RNA helicase RhlB [EC:3.6.4.13]
K03733	2656	2500	2109	2140	2476	2991	2402	3051	2918	2877	2708	2508	2990	2933	2922	2789	2147	1450	146	1984	2412	3762	2363	1760	integrase/recombinase XerC
K03734	2777	2863	2593	2074	2715	2869	2123	2678	2481	2381	2309	1854	2770	2862	2622	2409	1721	1645	278	991	1953	3273	2276	1537	thiamine biosynthesis lipoprotein
K03735	269	244	251	137	201	205	96	116	112	92	100	101	218	248	172	179	140	95	0	41	147	260	201	124	ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
K03736	95	63	44	36	99	104	16	24	26	30	30	24	77	131	74	62	58	63	2	17	65	152	84	29	ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]
K03737	5035	4019	4229	4420	4435	5270	6419	7415	7295	6487	7060	4912	4117	4511	3481	3594	2690	1630	42	1413	3788	4547	3405	2680	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
K03738	3288	2095	2199	3293	2073	3186	10146	12865	12943	12423	12580	9546	6476	6304	4780	4804	3208	2086	277	13435	4179	5999	2973	2931	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
K03739	23	25	13	8	21	6	13	8	11	16	8	13	1	0	4	0	0	0	0	0	6	1	6	0	membrane protein involved in D-alanine export
K03740	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	D-alanine transfer protein
K03741	1409	1201	1039	1085	1193	1802	872	1359	1173	1147	1035	1251	2031	2333	2536	2292	1446	1341	63	957	1667	2935	1969	1168	arsenate reductase [EC:1.20.4.1]
K03742	1810	1579	1474	1422	1544	1795	1529	1888	1987	1855	1768	1674	2077	2455	2009	1922	1223	842	77	589	1579	2401	1607	1248	nicotinamide-nucleotide amidase [EC:3.5.1.42]
K03743	639	520	514	341	586	615	325	458	471	505	313	500	903	879	1258	893	911	704	84	2130	734	1333	862	421	nicotinamide-nucleotide amidase [EC:3.5.1.42]
K03744	1914	1656	1455	1509	1821	2286	1713	2186	2088	1985	1814	1690	2281	2546	1967	2386	1510	1292	23	503	1611	2367	1664	1039	LemA protein
K03745	279	170	103	82	147	306	135	213	180	143	148	91	398	426	504	453	346	317	9	76	277	735	374	215	SlyX protein
K03746	163	71	52	18	61	57	22	59	37	32	27	69	311	251	402	409	219	215	7	57	215	589	295	201	DNA-binding protein H-NS
K03747	356	267	240	192	253	302	320	425	348	339	280	352	488	412	477	553	291	246	11	73	195	389	380	182	Smg protein
K03748	233	137	97	66	84	88	66	115	123	115	139	98	255	374	123	164	65	90	3	33	118	216	115	138	SanA protein
K03749	182	157	126	90	138	174	158	247	226	179	160	153	336	264	268	321	219	202	144	41	219	316	310	127	DedD protein
K03750	3729	3215	3003	2497	3182	3017	2756	3374	3356	3268	2972	2964	3512	3603	4329	4111	2739	2270	62	6044	2949	6266	3082	2035	molybdopterin molybdotransferase [EC:2.10.1.1]
K03752	1029	853	809	696	930	1038	749	1054	1013	1012	880	874	1636	1294	1561	1572	1301	1007	128	2193	1031	2097	1248	818	molybdopterin-guanine dinucleotide biosynthesis protein A [EC:2.7.7.77]
K03753	500	332	350	342	383	476	536	695	715	715	627	602	743	756	815	757	489	489	96	979	567	1353	554	414	molybdopterin-guanine dinucleotide biosynthesis protein B
K03754	2	1	1	0	3	2	2	9	1	1	5	4	1	0	0	0	1	0	0	1	2	11	0	4	translation initiation factor eIF-2B subunit beta
K03755	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AraC family transcriptional regulator, transcriptional activator of adiA"
K03756	12	0	2	1	1	1	28	35	23	9	22	2	0	0	0	0	0	0	0	0	0	0	0	0	putrescine:ornithine antiporter
K03757	0	0	0	2	7	24	0	6	3	7	7	16	2	0	2	3	2	0	0	3	2	1	3	3	cadaverine:lysine antiporter
K03758	20	25	33	32	45	43	18	15	21	23	15	35	1	2	4	6	7	0	0	2	8	17	6	1	arginine:ornithine antiporter / lysine permease
K03759	16	12	12	7	6	14	10	7	11	10	16	12	2	0	1	1	0	0	0	2	4	1	4	3	arginine:agmatine antiporter
K03760	323	271	278	187	272	181	75	148	160	154	163	124	40	23	36	19	22	17	2	14	22	26	15	11	lipid A ethanolaminephosphotransferase [EC:2.7.8.-]
K03761	9	12	24	13	23	12	2	5	1	3	3	4	0	0	0	1	2	0	1	3	1	2	0	2	"MFS transporter, MHS family, alpha-ketoglutarate permease"
K03762	505	637	639	389	679	596	61	293	143	206	121	476	55	66	93	94	59	22	42	35	117	183	119	86	"MFS transporter, MHS family, proline/betaine transporter"
K03763	133	69	55	82	78	84	82	113	91	133	120	217	1484	1140	880	790	531	339	38	206	544	1095	580	668	"DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"
K03764	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	"MetJ family transcriptional regulator, methionine regulon repressor"
K03765	7	25	13	2	14	12	17	18	24	18	6	6	20	21	1	1	21	4	0	0	0	3	0	1	transcriptional activator of cad operon
K03766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"beta-1,3-N-acetylglucosaminyltransferase 5 [EC:2.4.1.206]"
K03767	1036	1046	917	948	978	1141	1158	1293	1233	1268	1087	954	668	669	826	851	593	397	115	3676	674	867	564	376	peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
K03768	1827	1935	1389	1306	1588	1799	1414	1687	1692	1627	1521	1206	1918	2158	1888	1948	1344	1129	166	3025	1533	2135	1705	960	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
K03769	1380	1335	1121	1096	1413	1803	1453	1691	1767	1634	1592	1492	1412	1386	1661	1791	1058	1016	241	414	1035	2332	1173	790	peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
K03770	2229	2061	1795	1745	1968	2348	1890	2261	2259	2250	2177	1815	2273	2158	2693	2367	1726	1317	165	701	1877	3207	2349	1416	peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
K03771	2291	1792	1681	1619	1774	2494	1668	2121	1965	1994	1838	1676	2873	3443	2925	2912	1947	1512	237	575	2246	2971	2437	1467	peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
K03772	714	591	543	413	625	762	511	635	531	467	520	340	756	914	841	1014	599	459	67	86	592	841	737	450	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
K03773	1007	713	660	504	694	893	758	891	891	861	718	732	1346	1394	1171	1365	1003	785	87	146	961	1210	1161	638	FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
K03774	147	113	90	77	82	152	157	184	136	144	143	108	411	455	231	361	257	211	18	36	262	201	234	70	FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]
K03775	703	560	483	536	552	1208	736	985	809	946	728	775	1027	925	1185	877	872	779	51	3701	920	1188	968	500	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
K03776	137	78	48	75	73	87	52	90	71	73	120	53	716	515	287	317	314	246	10	54	361	354	285	109	aerotaxis receptor
K03777	123	109	82	133	132	185	123	196	120	127	134	157	270	185	184	262	123	128	7	64	146	220	209	108	D-lactate dehydrogenase [EC:1.1.1.28]
K03778	476	401	366	326	294	328	221	383	370	399	338	415	857	919	1112	1126	868	493	125	353	988	1548	992	685	D-lactate dehydrogenase [EC:1.1.1.28]
K03779	114	184	137	135	143	129	50	77	69	66	80	69	219	238	263	258	212	214	0	55	158	447	209	106	L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]
K03780	127	165	127	121	119	139	63	73	55	37	62	68	155	169	224	219	154	199	0	49	132	386	136	115	L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]
K03781	871	589	431	312	441	402	130	302	346	443	299	505	377	341	400	332	300	172	32	177	390	649	316	262	catalase [EC:1.11.1.6]
