KO	Sandmound_TuleA_D1	Sandmound_TuleA_D2	Sandmound_TuleB_D1	Sandmound_TuleB_D2	Sandmound_TuleC_D1	Sandmound_TuleC_D2	Sandmound_ThreeSqA_D1_rd	Sandmound_ThreeSqA_D2	Sandmound_ThreeSqB_D1	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D2	WestPond_TuleA_D2	WestPond_TuleB_D1	WestPond_TuleB_D2	WestPond_TuleC_D1	WestPond_TuleC_D2	WestPond_CattailA_D1	WestPond_CattailA_D2	WestPond_CattailB_D1	WestPond_CattailC_D2	WestPond_TuleA_D1	MayberryNE_TuleA_D1	MayberryNE_TuleA_D2	MayberryNE_TuleB_D1	MayberryNE_TuleB_D2	MayberryNE_TuleC_D1	MayberryNE_TuleC_D2	MayberryNE_CattailA_D1	MayberryNE_CattailA_D2	MayberryNE_CattailB_D1	MayberryNE_CattailB_D2	MayberryNE_CattailC_D1	MayberryNE_CattailC_D2	MayberrySE_CattailA_D1	MayberrySE_CattailA_D2	MayberrySE_CattailB_D1	MayberrySE_TuleA_D1	MayberryNW_TuleA_D1	MayberryNW_TuleA_D2	MayberryNW_TuleB_D1	MayberryNW_TuleB_D2	MayberryNW_TuleC_D1	MayberryNW_TuleC_D2	MayberryNW_CattailA_D1	MayberryNW_CattailA_D2	MayberryNW_CattailB_D1	MayberryNW_CattailB_D2	MayberryNW_CattailC_D1	MayberryNW_CattailC_D2	Browns_TuleA_D1	Browns_TuleA_D2	Browns_TuleB_D1	Browns_TuleB_D2	Browns_TuleC_D1	Browns_ThreeSqA_D1	Browns_ThreeSqA_D2	Browns_ThreeSqB_D1	Browns_ThreeSqB_D2	Browns_ThreeSqC_D1	Browns_ThreeSqC_D2	RushSE_TuleA_D1	RushSE_TuleA_D2	RushSE_TuleB_D1	RushSE_TuleB_D2	RushSE_TuleC_D1	RushSE_CattailNLA_D1	RushSE_CattailNLA_D2	RushSE_CattailNLB_D1	RushSE_CattailNLB_D2	RushSE_CattailNLC_D1	RushSE_CattailNLC_D2	RushMan_CattailNLA_D2	RushMan_CattailNLB_D2	RushMan_CattailNLC_D1	RushMan_CattailNLC_D2	RushMan_ThreeSqA_D1	RushMan_ThreeSqA_D2	RushMan_ThreeSqB_D1	RushMan_ThreeSqB_D2	RushMan_ThreeSqC_D2	RushOxbow_ThreeSqA_D1	RushOxbow_ThreeSqA_D2	RushOxbow_ThreeSqB_D1	RushOxbow_ThreeSqB_D2	RushOxbow_ThreeSqC_D1	RushOxbow_ThreeSqC_D2	Joice_CattailNLA_D1	Joice_CattailNLA_D2	Joice_CattailNLB_D1	Joice_CattailNLB_D2	Joice_CattailNLC_D1	Joice_CattailNLC_D2	Joice_ThreeSqA_D1	Joice_ThreeSqA_D1_rd	Joice_ThreeSqA_D2	Joice_ThreeSqA_D2_rd	Joice_ThreeSqB_D1	Joice_ThreeSqC_D1	Joice_ThreeSqC_D2	Goodyear_PhragA_D2	Goodyear_PhragC_D2	White_CordA_D2	White_CordB_D2	White_ThreeSqA_D1	White_ThreeSqA_D2	White_ThreeSqB_D1	White_ThreeSqB_D2	White_ThreeSqC_D1	White_ThreeSqC_D2	Tolay_CordA_D2	Tolay_CordB_D2	Tolay_CordC_D2	China_Galinas_CordA_D2	China_Galinas_CordB_D2	China_Galinas_CordC_D2	China_Galinas_PWA_D1	China_Galinas_PWA_D2	China_Galinas_PWB_D1	China_Galinas_PWB_D2	China_Galinas_PWC_D1	China_Bullhead_CordA_D2	China_Bullhead_CordB_D2	China_Bullhead_CordC_D2	China_Galinas_PWC_D2	Muzzi_CordA_D2	Muzzi_CordB_D2	Muzzi_CordC_D2	Muzzi_PWA_D1	Muzzi_PWB_D1	Muzzi_PWB_D2	Muzzi_PWC_D1	Muzzi_PWC_D2
K05298	5.6515	4.9661	5.358	4.9731	4.6609	5.275	5.4309	5.0035	4.6609	4.4386	4.8919	4.6716	5.1089	5.8625	5.4908	4.9356	5.229	5.142	5.5939	5.3297	5.2992	5.4007	6.3106	5.5161	5.7698	5.5568	6.0255	5.4436	5.6289	5.8015	5.7869	6.1466	6.1839	5.8158	5.1351	5.1686	5.4373	5.4018	5.2617	5.3946	5.1351	4.798	5.8619	5.4024	5.2323	5.262	5.3141	5.2356	5.3146	5.3748	5.4003	5.0616	4.742	5.2221	5.1134	4.6207	5.0093	4.245	5.5801	4.3937	5.225	5.2942	5.2158	5.6234	5.2091	5.4029	5.5976	5.367	5.3918	5.0326	5.3055	4.8881	5.4722	5.4081	5.6921	4.9823	5.5676	5.1954	5.4969	4.8664	5.0267	5.4208	4.8589	5.2815	4.7609	5.2929	5.5007	5.5904	5.4282	5.5048	5.0986	5.663	4.7708	5.5682	5.0788	5.1479	5.5698	5.2948	5.0371	5.1881	4.8679	5.6932	5.2466	5.5617	4.883	5.0919	5.1159	5.2191	5.4497	5.443	5.2717	5.0231	4.8078	5.1257	5.466	6.1158	5.1048	4.5363	4.6652	4.9531	4.75	5.5076	5.4889	5.2689	4.8085	5.1641	4.86	4.7032	4.2837	4.3394	4.4369	5.2024	5.1058
K05301	8.6133	8.7315	8.7071	8.756	8.7615	8.718	8.7663	9.1644	8.8875	9.0133	8.8683	8.9046	7.0563	7.4606	6.4457	7.7045	7.4948	7.8626	7.2078	8.1201	6.8718	7.7507	6.7959	7.2748	6.3799	6.8608	7.2216	7.4001	8.2612	8.2542	8.3154	8.2787	8.3398	8.344	7.6971	8.4268	8.4049	7.889	7.4452	8.1072	7.5367	7.8603	7.9056	7.7079	7.8579	8.0622	7.2872	7.8251	7.8687	8.5454	8.9868	8.5173	8.8929	8.9106	8.5119	8.8131	8.3931	8.5814	8.4605	8.7612	8.7165	8.0526	7.7836	8.123	7.888	7.9714	8.2573	8.0831	8.0131	7.8129	8.0993	7.6075	6.6575	7.1081	7.9737	6.8701	8.4805	8.2406	7.7458	7.8952	7.8268	8.1321	7.9233	8.1816	8.503	8.3517	8.7711	7.5141	6.9584	7.3913	7.4236	7.9815	7.9331	7.9236	7.4019	7.73	7.6278	7.8682	7.2228	7.3209	6.9241	7.2323	6.2372	6.3778	7.6012	7.7567	7.7351	7.2716	6.7692	7.5808	6.989	6.8112	6.761	6.9106	6.5076	6.0704	6.5522	6.897	6.6983	5.7613	7.1416	6.2117	6.0885	6.3126	6.9865	7.1922	7.4584	7.2782	7.3502	7.2643	7.4309	7.3624	7.6635
K05304	7.4781	7.4279	7.3567	7.2655	7.3831	7.3615	7.5171	7.6261	7.2455	7.394	7.0886	7.2684	6.57	6.4031	6.8129	6.1284	6.1963	6.2151	6.2083	5.7203	6.4193	5.983	6.6305	7.1906	6.3096	6.7187	6.6847	7.2245	7.8608	7.9824	7.6921	8.025	8.2239	7.7585	7.373	7.7341	7.607	7.4678	7.4062	7.9272	7.1891	8.1908	7.5132	7.7545	7.0283	7.7225	7.0125	8.0777	7.6384	8.1931	7.6577	7.4402	6.9699	7.4883	7.1429	7.1429	7.3582	7.1631	7.4816	7.19	7.4833	7.2724	7.6132	7.5647	7.6284	7.3522	7.4004	7.8357	7.0834	7.7119	7.0568	7.7517	7.3413	6.6525	7.0678	7.5595	6.8034	6.9546	6.9684	7.0911	7.0913	7.2533	7.2965	6.8858	6.7313	6.7907	6.7558	7.4478	7.7063	7.1237	7.7317	7.7171	8.0131	7.2045	7.2515	7.6142	7.4254	7.6319	7.5087	7.4705	7.8564	7.6275	7.7634	7.903	7.2907	7.167	6.9985	7.7603	7.7205	7.3255	7.757	7.7508	7.8236	7.6196	6.9152	8.0641	7.46	7.0235	7.21	7.4231	7.3249	7.8923	7.6032	7.8489	7.308	7.6644	6.4637	7.5965	7.8943	7.0548	6.8725	6.8598	6.9337
K05305	5.964	5.9017	5.9337	5.8818	5.8664	5.7418	5.2772	5.517	5.251	5.0366	5.4201	6.0217	6.8862	6.5045	7.0718	6.1452	6.8074	6.2307	7.0154	6.1834	6.5371	6.2768	6.164	5.649	6.1778	5.5845	6.0884	5.4436	5.3634	4.7752	5.6122	4.3422	5.2019	4.0602	4.9861	4.9419	4.9159	5.6613	6.3478	5.2006	5.358	5.2265	5.2732	5.5692	6.2259	5.6257	5.9649	5.4769	5.8916	5.444	4.6105	5.0616	4.558	4.4192	5.0278	4.9366	5.7334	5.4187	5.6437	4.7986	5.5833	5.7923	6.4148	5.7943	6.2516	5.4668	5.8167	6.3579	5.8538	6.0115	5.3783	5.8818	6.249	5.936	6.0292	6.511	5.0692	5.7107	5.6142	5.3968	5.7574	5.3811	5.1887	4.5344	4.2335	4.6989	5.0631	4.9826	5.6619	4.6672	5.6388	4.9615	5.2543	5.6499	4.6927	5.4921	5.0392	5.2557	5.5194	5.8044	5.5777	5.997	6.4102	6.3527	5.1271	5.6354	5.8595	6.0381	6.1081	5.2922	6.2443	6.2836	6.3212	5.3256	4.3597	6.7688	7.0717	4.9366	5.7386	5.4296	5.0094	6.3347	6.6359	6.2078	5.4405	6.0415	4.6841	5.9417	5.8635	5.2951	4.8708	4.7247	4.72
K05306	7.886	7.9006	7.8886	7.7898	7.8155	8.0192	7.7182	8.2034	7.8412	7.7136	8.1628	7.9148	7.4103	6.851	6.9045	7.0965	7.318	7.3792	7.2353	7.2028	7.2845	7.3582	7.305	7.1731	7.3689	7.0208	7.0845	7.4851	7.0807	7.8204	6.7347	7.3606	7.3083	7.4086	7.4168	7.6476	7.7446	7.2397	7.4452	7.0857	7.5063	7.3491	7.3333	7.3537	7.1217	7.4555	7.4543	7.3857	7.1738	7.581	7.4279	7.7011	7.5227	8.0451	7.6684	7.8082	7.8986	7.8682	7.9687	8.1727	7.8204	7.5839	7.6854	7.6558	7.779	7.3522	7.452	7.6255	7.2313	7.4858	7.4742	7.5505	6.8129	6.504	7.3073	7.3378	7.5666	7.309	7.4643	7.5452	7.8064	7.7701	7.9611	7.6062	8.0043	7.8905	7.8234	7.7931	6.9584	7.3262	7.4538	7.4837	7.6313	7.8045	7.4302	7.509	7.2501	7.4639	7.853	7.1908	7.1571	7.1497	7.3289	7.2746	7.5442	7.0559	6.8949	7.3981	7.5809	7.4719	7.3094	7.3946	7.5429	7.6776	8.4843	7.8531	7.7888	8.6773	8.0397	7.6389	8.3847	7.4788	7.6032	7.3232	8.0694	8.2994	7.4981	8.402	8.2672	7.2545	8.1206	8.3549	8.4161
K05308	6.4995	6.5429	6.5451	7.2095	6.6929	6.9511	6.4826	6.909	6.8802	7.0272	6.4666	6.7566	6.0533	5.5175	6.1991	5.8908	5.8123	5.9192	6.4852	5.3594	5.7331	5.5845	6.0007	7.4002	6.2732	7.4308	5.9819	8.1316	7.0359	7.2218	6.9204	7.1008	7.2531	7.1386	6.6333	6.8932	6.9581	7.0157	7.5737	7.2272	7.5517	7.2264	7.0741	7.3688	6.0703	6.9434	7.4356	7.393	6.9129	7.4198	6.9952	7.0102	6.5053	7.2319	6.4605	6.9946	6.9093	6.8786	6.9796	7.4236	6.9355	6.178	6.9061	6.0628	6.8374	6.2433	5.6236	6.339	5.9359	6.5152	6.1529	6.7782	6.4677	6.8742	6.2661	6.1271	6.3311	6.5733	6.5662	6.8014	6.8853	6.1183	7.0484	6.6339	7.1561	6.4361	7.4072	6.3603	6.3517	6.6778	6.5333	6.3179	6.266	6.5452	5.7557	6.234	6.2394	6.6541	6.3297	6.0451	6.9693	6.9473	6.8446	7.0897	6.6994	6.9694	6.8678	7.0735	7.1291	6.5867	7.1961	6.9891	7.2649	6.3067	6.6817	6.5877	7.4454	6.507	6.4323	6.0706	6.8024	7.1626	7.5895	7.4585	6.6415	7.0083	6.7647	6.774	6.5382	6.5622	6.653	6.8128	6.814
K05327	3.1545	3.3375	2.862	3.1357	2.6417	2.6791	3.126	2.9513	2.6221	3.7381	3.5429	2.9187	3.5254	3.7478	3.1794	3.1992	3.6137	3.0288	4.0468	3.5951	3.3361	3.7023	3.2029	3.0747	2.6287	3.0933	2.6207	3.2279	3.1685	2.7278	2.9509	3.34	3.0191	3.4907	2.8522	2.9454	3.2816	3.1697	3.2395	3.6367	2.6221	3.1191	3.1609	3.3774	2.973	2.9738	2.9905	2.8515	3.2502	2.935	2.7504	2.9995	3.1755	2.649	2.628	2.9219	3.392	3.5651	3.1907	3.1194	3.1765	3.7169	3.4039	2.943	2.8818	3.1204	2.8665	2.6576	3.221	3.0097	3.8679	2.9674	3.3002	2.6269	3.3087	3.2176	2.6021	2.8359	2.6153	3.2286	3.3733	2.6866	3.2751	3.0631	2.934	3.6245	3.4691	3.6414	3.0475	2.7137	2.8822	3.266	2.6592	3.6735	3.4043	3.5087	3.353	2.9479	2.581	3.1004	3.1298	2.8931	3.1875	3.1223	2.6596	3.7169	2.9804	3.2918	3.231	3.1902	2.6647	2.6266	2.6526	2.7855	3.1841	3.3762	2.5897	3.0945	2.6432	2.89	2.5843	2.9758	3.102	2.8917	3.0107	2.9435	3.3449	3.1866	3.2694	2.6471	2.8382	2.8938	2.8696
K05341	8.6972	8.5173	8.725	8.5867	8.5806	8.6707	8.7374	8.4943	8.5119	8.3967	8.1242	8.6785	9.0799	9.1166	8.2963	9.0946	9.0644	9.0434	9.1712	8.7697	8.8441	9.0153	10.021	9.4768	9.8541	9.6187	10.117	9.1184	9.8344	8.9723	9.6513	9.2868	9.4806	9.2699	9.5228	9.1841	9.2375	10.456	9.1742	9.0786	8.8816	9.1702	9.2426	9.2687	9.377	8.788	9.4203	9.1687	9.2092	8.8881	8.8499	8.8613	9.0632	8.6127	9.0989	8.8288	9.3165	8.9103	9.1295	8.8048	9.27	10.412	10.159	10.286	10.104	10.241	10.371	10.33	10.255	10.126	10.231	10.082	9.5173	9.5731	11.201	10.443	9.8243	9.7832	10.32	10.114	10.048	9.4227	9.9504	10.161	9.2531	10.079	9.6365	10.304	11.049	10.502	10.691	10.396	10.592	10.21	10.505	10.528	10.659	10.206	10.308	10.518	9.93	9.8255	11.22	11.276	10.881	10.636	10.743	10.839	10.555	10.604	10.728	10.46	10.68	11.766	11.097	11.19	10.965	10.996	11.313	11.393	11.101	10.971	10.854	10.993	11.229	11.03	11.366	11.128	11.25	11.746	11.313	11.272	11.252
K05342	2.5386	2.6375	2.5844	2.6249	2.9406	2.6791	3.262	2.6495	2.9138	2.6308	2.9691	2.6257	2.6537	2.5881	2.6517	3.1992	2.7907	2.5598	3.372	2.5681	2.8278	2.9039	2.9741	3.5231	3.3215	3.416	3.4596	3.5806	3.7703	4.286	4.2661	4.9058	3.8903	3.2929	3.3721	3.7706	3.6843	3.6479	3.2395	3.9323	3.1311	4.0057	3.6363	3.5064	3.3885	3.9317	4.342	3.7208	2.8697	3.8654	2.7504	2.6847	2.6494	2.649	3.3202	2.9219	2.9757	2.6737	2.9638	2.904	3.5179	3.8139	2.6739	3.1659	3.5473	4.0077	3.2459	3.6729	2.9894	2.6922	4.155	2.6613	3.9181	3.3181	3.9295	4.1575	3.0983	3.6934	4.6404	3.0594	3.3733	3.5904	3.1007	3.3788	3.7519	4.3062	2.9184	3.5036	3.4872	3.7908	3.4162	3.266	3.1915	2.6023	4.8713	2.5811	3.353	2.9479	3.0636	2.888	2.6214	3.2816	3.1875	2.775	2.9651	2.9128	2.6707	2.6126	2.9979	2.6584	2.972	2.6266	2.6526	2.7855	3.1841	2.9638	2.5897	3.6678	3.1654	2.89	2.8617	3.5526	2.8894	3.4301	3.2462	3.6436	3.5856	3.1866	3.2694	3.1719	3.593	2.8938	3.2501
K05343	11.849	11.671	11.865	11.682	11.872	11.625	11.909	11.838	11.839	11.731	11.482	11.709	11.298	11.503	11.27	11.603	11.352	11.841	11.426	11.358	11.236	11.443	12.228	13.517	12.25	12.799	12.283	12.91	13.688	13.824	13.607	13.887	13.89	13.861	13.141	13.682	13.67	13.545	13.355	13.408	13.123	13.439	13.481	13.358	13.18	13.28	13.346	13.349	13.239	13.567	13.3	13.1	13.09	13.147	12.957	12.885	12.955	12.813	13.011	12.972	13.027	12.73	12.563	12.513	12.542	12.811	12.52	12.527	12.505	12.564	12.546	12.671	12.654	13.058	12.728	12.534	12.992	12.776	12.612	12.816	12.762	13.299	12.819	12.926	13.064	12.985	13.073	13.076	12.72	12.868	12.756	12.906	12.857	12.816	12.998	12.851	13.046	12.653	12.767	12.803	13.309	13.252	11.866	11.935	11.69	11.53	11.444	12.062	12.095	11.791	11.683	11.856	11.84	12.166	12.493	11.893	11.765	12.58	12.497	12.574	12.691	11.815	11.744	11.629	12.587	12.239	11.878	12.331	12.288	11.862	12.225	12.449	12.457
K05344	3.416	3.493	3.0693	3.6034	3.3452	3.5756	2.5234	3.3595	3.4624	2.9257	3.197	3.4695	4.0074	3.2466	4.3518	3.1992	3.9491	3.3365	3.7551	3.5951	4.024	3.2962	3.6911	3.2458	3.9466	4.208	4.1083	3.418	3.6463	3.5014	3.359	4.1265	3.7603	3.4907	3.6165	3.5085	3.2816	4.0841	3.431	3.5198	4.112	3.8115	3.975	3.8258	4.0356	3.7762	4.2563	3.818	3.0786	3.3377	3.5421	3.4236	2.6494	3.175	3.3202	3.1407	3.9349	2.9845	3.6752	3.7024	3.7812	3.7169	3.4039	3.3485	3.4156	3.9143	3.5233	4.0168	4.0645	3.8751	3.7559	3.9208	4.0117	3.4719	3.3087	3.7102	3.2725	3.4749	3.8128	3.2286	3.797	3.427	3.425	3.624	3.3364	3.6245	3.7261	3.3472	3.4872	3.9224	3.6664	3.0274	3.6762	3.7817	3.9506	4.0829	3.5099	4.0871	4.1575	3.7843	4.2694	4.0725	3.5314	4.1797	3.9168	3.8272	3.9428	3.2918	3.7277	3.5347	2.6647	3.3175	2.9555	3.6045	3.1841	3.3762	3.7517	3.4174	3.766	2.89	2.8617	3.3922	3.8865	3.1048	3.7474	3.88	3.7856	3.3717	3.0956	3.7748	2.8382	3.2826	3.2501
K05349	12.677	12.689	12.737	12.677	12.626	12.596	12.584	12.44	12.487	12.399	12.439	12.664	13.227	13.098	13.481	13.081	13.034	12.814	13.037	13.009	13.266	13.425	13.3	12.974	13.451	13.33	13.185	13.326	12.66	12.71	12.731	12.642	12.555	12.679	12.706	12.457	12.592	12.759	13.151	12.854	13.048	12.758	12.803	12.874	13.297	12.76	12.958	12.774	12.946	12.68	12.215	12.477	12.4	12.414	12.407	12.334	12.478	12.436	12.634	12.443	12.461	12.857	12.913	12.864	12.937	12.773	13.023	12.828	13.148	12.762	12.781	12.811	13.256	13.199	13.098	13.293	12.61	12.581	12.91	12.615	12.698	12.602	12.684	12.749	12.361	12.679	12.461	12.79	12.886	12.745	12.912	12.767	12.673	12.913	12.84	13.035	12.904	13.08	13.146	12.774	12.659	12.707	12.928	12.97	12.602	12.955	12.78	12.681	12.713	12.81	12.763	12.806	12.867	12.672	12.706	12.959	12.954	12.363	12.593	12.47	12.46	13.218	13.148	13.163	12.543	12.429	12.631	12.277	12.259	12.824	12.448	12.344	12.349
K05350	11.308	11.252	11.349	11.252	11.318	11.273	11.359	11.285	11.301	11.31	11.203	11.331	11.561	11.534	11.502	11.554	11.38	11.652	11.618	11.311	11.467	11.617	11.365	11.588	11.483	11.6	11.41	11.741	11.933	11.923	11.704	11.716	12.08	11.783	11.481	11.574	11.514	12.2	11.631	11.649	11.779	11.892	11.738	11.79	11.448	11.577	11.536	11.711	11.722	11.828	11.148	11.16	11.177	11.244	11.309	11.202	11.258	11.197	11.301	11.257	11.174	11.046	11.221	10.882	11.202	11.063	11.074	10.878	10.937	10.99	10.964	11.149	11.117	11.298	11.592	11.197	11.038	11.017	11.211	11.155	11.173	11.195	11.212	11.296	10.831	11.11	10.922	11.177	11.071	11.237	11.234	11.053	10.956	11.217	11.332	11.279	11.238	11.129	11.2	11.173	11.462	11.363	10.964	11.039	10.644	10.754	10.735	10.946	10.979	10.767	10.82	10.919	10.996	11.183	11.141	10.973	11.114	10.888	10.923	11.088	10.795	11.328	11.198	11.194	11.012	10.739	10.875	10.717	10.537	11.161	10.889	10.606	10.663
K05351	7.4027	7.0741	7.1334	6.8908	6.8926	7.2481	7.0284	6.8316	7.2176	6.5494	6.5015	7.0297	8.2244	8.1952	8.8504	8.2044	7.9057	7.5319	7.899	7.7276	8.2881	8.1821	8.1873	7.6478	8.5569	8.3804	8.219	7.9443	7.4222	7.4501	7.2326	7.2622	7.3822	7.3978	7.8164	7.2474	7.7002	8.061	7.3251	7.3637	7.7596	7.4777	7.497	7.5516	7.8914	7.3628	7.4543	7.4291	7.5252	7.1278	6.3013	7.023	6.6172	6.6005	6.9377	6.2706	6.5525	6.794	7.1197	6.5649	6.8853	7.9025	8.1032	7.641	8.1033	7.9438	7.6668	7.8558	7.9422	8.0414	7.252	7.8695	8.7053	8.3207	8.0282	8.5443	7.5313	7.7055	8.3734	7.4211	7.7287	7.7853	7.7918	7.8462	6.9475	7.7154	6.9961	7.933	7.8281	8.2643	7.9166	7.5871	7.4034	7.4511	7.9168	7.8425	7.5016	7.6469	8.0154	7.9116	8.2766	8.2463	7.8592	7.9705	7.145	7.5034	7.4997	7.8922	7.8261	7.8654	7.5713	7.8827	7.6222	8.0089	8.1814	8.2431	8.4186	8.1444	7.7333	7.7606	8.3037	8.1973	8.1207	8.1033	8.2634	8.222	7.6818	7.8304	7.5738	8.0604	7.1579	7.4724	7.79
K05355	4.1057	4.3873	4.2383	4.422	3.875	3.8461	3.5907	3.6557	4.4141	3.3253	3.9238	3.9391	3.7896	4.2487	4.9116	4.1058	3.9491	3.4625	3.7551	4.2579	4.167	3.582	3.6911	4.2476	4.2118	4.208	4.1083	3.7236	3.6463	3.82	3.7796	4.2387	3.8903	3.8077	3.5007	3.7706	3.6843	3.3527	3.9846	4.2432	4.112	3.7019	3.3428	3.3774	4.3885	3.7762	4.342	3.2258	4.0276	3.4933	4.3405	3.4236	4.4201	3.6547	3.61	4.1274	3.392	3.5651	3.9147	4.0933	4.3471	4.1415	4.4111	3.6429	3.7736	4.1766	4.4412	4.4427	4.6369	4.2918	3.9709	3.381	4.2578	4.2069	4.1932	4.0593	4.2164	4.0402	4.2529	3.6189	4.2867	3.8627	4.4261	4.0025	3.8637	4.0565	4.354	3.6414	4.9252	3.2798	3.8736	4.0222	3.8018	3.5546	3.835	4.5895	4.2574	3.5121	4.0034	3.557	3.9285	4.0725	4.8202	4.829	4.2934	4.3426	5.3314	4.3868	4.2699	4.3698	4.3067	3.7286	4.1011	4.3178	4.1063	4.7693	4.719	3.4174	4.403	4.4299	3.2395	4.541	3.8865	4.2273	3.8767	3.5057	4.1795	3.7951	3.0956	4.3394	3.883	3.8946	4.2542
K05356	5.3351	5.5726	5.6116	5.7032	5.4233	5.5451	5.6342	5.4491	5.5203	5.8783	5.4201	5.5926	5.9581	5.6757	6.3924	4.896	5.4916	4.8459	5.5506	5.2994	6.0654	5.4646	5.9758	5.6989	6.3452	5.6117	6.5272	5.3248	5.8265	5.4659	5.6428	5.6178	5.8964	5.6799	5.8003	5.6593	5.8177	5.4018	5.7107	6.3185	5.5803	5.8927	6.0067	6.1964	5.7854	5.9152	5.8279	5.7984	6.0155	6.0421	5.7309	5.632	5.3774	5.7016	5.8439	5.7673	5.6086	5.8417	5.6744	6.0879	5.9203	5.4711	5.8421	5.4292	5.7149	5.4029	5.3065	5.7305	5.3116	6.0115	5.2288	5.8278	6.1934	6.3029	5.7713	5.9019	5.6493	5.3205	5.7989	5.782	5.6069	5.7353	5.6277	4.8737	5.4074	5.1764	5.8349	5.3188	5.8627	5.4235	5.665	5.5174	5.4455	5.6232	5.7557	5.8141	5.691	5.4409	5.4059	5.8742	5.3555	5.0856	5.6373	6.1044	4.6514	5.3555	5.8317	5.8614	5.4872	5.2922	5.4987	5.5956	5.424	5.4528	5.5669	5.9995	6.0912	4.9794	5.2823	5.0782	5.2616	6.2117	6.1462	6.2078	5.2743	4.9858	5.3444	5.1165	4.7023	4.9961	4.8288	5.5002	5.3464
K05358	6.907	6.5429	6.518	6.5429	7.1006	6.7229	7.0521	7.0409	7.3436	6.9129	7.3974	6.9519	5.8294	6.5728	5.1026	7.1389	6.6019	6.7369	4.9593	7.4621	5.6422	6.8647	5.6686	5.6989	5.2729	6.1451	5.6331	6.2167	6.3505	7.0652	6.4541	6.7108	6.4232	6.5773	6.2685	7.025	7.641	6.0931	5.9194	6.5519	5.5506	5.5252	6.0957	6.091	6.3663	6.8185	6.4485	6.668	6.0545	6.7745	7.3935	6.8033	7.4811	7.2617	7.0707	7.3225	6.6345	7.229	6.7546	7.1711	6.8724	7.1995	6.5413	7.191	6.5036	7.0441	7.3701	6.6923	7.2739	6.7053	7.3981	6.6288	5.0781	5.1507	6.2292	4.9295	7.1209	7.5241	7.2007	6.6375	7.1025	6.9375	7.2796	7.3488	7.3293	7.5397	7.7855	7.3331	6.2119	6.9031	6.9488	7.5961	6.7707	7.3413	7.0953	6.9186	6.9083	7.6319	6.7436	6.6186	6.1111	5.9324	5.8663	6.1634	7.1775	7.3493	7.1182	6.3202	6.4291	7.0735	6.5928	6.3017	6.3212	7.3989	7.4139	5.8991	6.2674	7.1946	7.1898	6.8258	6.7214	5.3209	5.1542	6.2078	7.3604	7.0649	7.8447	7.4284	7.2062	7.4124	7.7182	7.6161	7.6509
K05359	2.7987	2.6375	3.5161	3.3145	2.6417	2.9917	2.5234	3.1757	2.9138	2.9257	3.3833	3.3159	3.1826	3.0753	3.3636	3.1992	3.4032	3.1941	3.372	3.3533	3.3361	3.7023	2.9741	2.5877	3.1419	3.0933	3.1288	2.6816	2.9452	2.7278	2.9509	2.7512	3.2562	2.7218	3.6165	3.1688	3.1064	2.9462	3.431	3.0722	2.9138	2.9037	2.6404	3.2315	2.973	2.7821	2.9905	3.0569	3.3979	2.935	2.7504	3.2329	2.9511	2.9507	3.1407	2.628	2.9757	2.6737	3.1907	3.1194	2.9519	3.4961	3.2153	3.1659	3.4156	3.4493	3.0748	3.5331	3.221	3.4372	3.3397	3.8065	2.9069	2.9203	3.1305	3.4064	3.7814	3.0382	2.9044	3.3743	3.532	2.6866	3.425	2.5806	2.6369	3.1518	3.8368	2.942	3.0475	3.2798	3.2671	3.0274	3.1915	3.5546	3.2157	2.8573	2.9464	3.355	3.5086	3.4247	2.9127	3.6844	2.9612	3.3781	3.3779	3.1299	3.8276	3.2918	3.231	2.9635	3.2004	3.1383	2.6526	3.3949	3.3689	3.1906	3.3971	3.4174	3.3479	2.89	3.9273	3.3922	3.2766	3.2797	3.4385	3.3491	4.0359	3.7951	3.7774	3.8877	3.6974	3.2826	3.3977
K05362	3.808	3.6301	3.5161	3.9372	3.6391	4.501	3.9936	3.7802	3.5973	2.9257	3.5429	3.9391	3.5254	3.6411	3.7852	2.5626	3.5132	3.4625	3.372	3.4805	3.9462	3.1194	3.2029	4.1011	3.4756	3.8734	3.8256	4.1732	3.8829	4.3807	4.1822	5.1482	5.2483	5.2695	4.2181	4.3343	3.5649	4.5479	3.8676	4.4364	4.2715	4.9408	4.1594	4.955	3.9304	4.4654	3.7164	4.3475	4.6177	5.2642	4.4366	4.359	4.4201	3.6547	3.4742	3.7319	4.1378	4.3305	3.8007	3.812	4.3471	3.6116	4.1541	4.1674	4.2075	3.2973	3.9363	3.7983	3.8423	3.8751	3.7559	3.381	3.3002	3.6075	3.9295	2.9865	4.1403	3.962	4.1759	3.6189	4.0155	3.7341	3.8845	4.2274	4.5225	3.9615	3.8368	3.6414	3.7071	3.7908	3.8736	4.4936	3.8018	3.7817	3.2157	2.8573	3.5099	4.3391	4.0827	3.2748	4.11	3.8932	3.7964	3.5858	2.9651	2.9128	3.7007	4.0	3.5844	3.6746	3.6879	4.357	4.0047	3.3949	3.1841	3.5352	2.8692	3.0945	3.1654	3.4276	3.069	3.2049	3.2766	3.2797	3.6029	3.88	3.5856	2.9604	3.0956	4.0874	3.2077	3.7945	3.7524
