EWsiteHyd_index	Sample	MG_name	Latitude	Longitude	Date.x	SPID	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Index	Site	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	EW.no	iTag_name.y	SampNO	PW_LABEL	Salinity.y	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
35	MayberryNE_CattailB_D2	MayberryNE_CattailB_D2	38.0524	-121.7687	8/31/13	1072543	3300014254	Ga0075312	Gp0116078	101	MayberryNE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	8/31/17	3.3	13.6	22.5	5807	10.4721964	0.075898881	1.713242764	17.03466156	0.001862915	0.2570369	147548	s101_MayberryNE_CattailB_D2	38.052479	-121.7687	51.3	7.29	62.39	53.4	21.53	12.49	0.858	13.36	NA	13.41	12.8	0.077	61	533	30210	41	101	s101_MayberryNE_CattailB_D2	s101	W5	3.32	966.432	22.95	72.63	1.62	NA	1.712333333	1.334	4.162	0.7	490642.11	85864.31	124111.32	13106.42	1102.4	107.3	12.35	18.24	9100.31	0.85	12.38	NA
36	MayberryNE_CattailC_D1	MayberryNE_CattailC_D1	38.0524	-121.7687	8/31/13	1072544	3300014267	Ga0075313	Gp0116079	19	MayberryNE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	8/31/17	3.3	13.8	22.1	5756	6.448730832	0.025534859	1.055007089	5.731015721	0.000626745	0.158282152	133592	s019_MayberryNE_CattailC_D1	38.052479	-121.7687	44	7.22	67.5	174.3	19.81	11.49	0.938	13.56	0.35	12.49	3.6	0.072	NA	NA	NA	NA	19	s019_MayberryNE_CattailC_D1	s019	W6	3.32	1701.18	34.642	93.27	1.368	NA	1.372	1.444	7.36	0.706	854405.27	141977.4	111678.4	27640.86	1264.88	195.68	55.72	21.05	8420.45	0.83	16.78	0.96
37	MayberryNE_CattailC_D2	MayberryNE_CattailC_D2	38.0524	-121.7687	8/31/13	1072545	3300014265	Ga0075314	Gp0116080	102	MayberryNE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	8/31/17	3.3	13.8	22.1	5756	6.448730832	0.025534859	1.055007089	5.731015721	0.000626745	0.158282152	133592	s102_MayberryNE_CattailC_D2	38.052479	-121.7687	49.6	6.81	64.55	64.4	23.62	13.7	0.933	13.82	0.2	10.9	15	0.086	62	449	29560	42	102	s102_MayberryNE_CattailC_D2	s102	W6	3.32	1701.18	34.642	93.27	1.368	NA	1.372	1.444	7.36	0.706	854405.27	141977.4	111678.4	27640.86	1264.88	195.68	55.72	21.05	8420.45	0.83	16.78	0.96
38	MayberrySE_TuleA_D1	MayberrySE_TuleA_D1	38.0499	-121.7653	9/6/13	1072562	3300014310	Ga0075331	Gp0116097	20	MayberrySE	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	9/6/17	1.415937623	13.2	21.8	2561	73.22543537	5.663839784	11.97962133	1271.185986	0.139017238	1.797296214	168632	s020_MayberrySE_TuleA_D1	38.049923	-121.765244	43.8	7.23	43.32	223.3	21.87	12.69	0.983	14.74	NA	10.82	5.8	0.078	NA	NA	NA	NA	20	s020_MayberrySE_TuleA_D1	s020	W17	1.42	1182.756	36.954	49.05	1.636	NA	1.036333333	1.206	4.776	0.328	567078.07	106259.77	163942.64	NA	1556.4	192.86	815.47	24.63	10326.12	1.52	14.38	1.67
39	MayberrySE_TuleA_D2	NA	NA	NA	NA	NA	NA	NA	NA	103	MayberrySE	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	9/6/17	1.415937623	13.2	21.8	2561	73.22543537	5.663839784	11.97962133	1271.185986	0.139017238	1.797296214	168632	s103_MayberrySE_TuleA_D2	38.049923	-121.765244	50.1	7.37	43.25	53.3	21.58	12.51	0.902	13.36	0.47	41.69	14.5	0.077	65	395	30230	48	103	s103_MayberrySE_TuleA_D2	s103	W17	1.42	1182.756	36.954	49.05	1.636	NA	1.036333333	1.206	4.776	0.328	567078.07	106259.77	163942.64	NA	1556.4	192.86	815.47	24.63	10326.12	1.52	14.38	1.67
40	MayberrySE_TuleB_D1	NA	NA	NA	NA	NA	NA	NA	NA	21	MayberrySE	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	9/6/17	2.578450297	14.2	21.5	4481	32.88723379	0.965965239	5.380324547	216.8001784	0.023709325	0.807207229	123334	s021_MayberrySE_TuleB_D1	38.049923	-121.765244	53.4	7.25	63.52	233.5	19.98	11.59	0.969	15	0.26	21.69	10	0.074	NA	NA	NA	NA	21	s021_MayberrySE_TuleB_D1	s021	W18	2.58	916.606	20.146	39.31	0.982	NA	5.448666667	4.246	3.412	0.296	426299.48	74038.52	98718.77	4972.93	713.66	168.38	420.38	25.12	11622.92	0.61	6.2	NA
41	MayberrySE_TuleB_D2	NA	NA	NA	NA	NA	NA	NA	NA	104	MayberrySE	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	9/6/17	2.578450297	14.2	21.5	4481	32.88723379	0.965965239	5.380324547	216.8001784	0.023709325	0.807207229	123334	s104_MayberrySE_TuleB_D2	38.049923	-121.765244	58.5	7.61	45.6	49.3	20.41	11.84	0.826	12.47	0.3	27.2	22	0.075	61	490	28780	54	104	s104_MayberrySE_TuleB_D2	s104	W18	2.58	916.606	20.146	39.31	0.982	NA	5.448666667	4.246	3.412	0.296	426299.48	74038.52	98718.77	4972.93	713.66	168.38	420.38	25.12	11622.92	0.61	6.2	NA
42	MayberrySE_TuleC_D1	NA	NA	NA	NA	NA	NA	NA	NA	22	MayberrySE	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	9/6/17	2.473956295	12.8	21.5	4310	35.15472686	0.631124352	5.751284558	141.648857	0.015490757	0.862862162	123114	s022_MayberrySE_TuleC_D1	38.049923	-121.765244	42.7	7	74.54	443.9	22.63	13.13	1.084	15.28	0.29	21.75	7.2	0.076	NA	NA	NA	NA	22	s022_MayberrySE_TuleC_D1	s022	W19	2.47	755.51	0.531	70.43	NA	NA	11.90333333	5.414	3.123	0.7355	372911.34	63993.07	110095.06	3158.56	685.23	502.3	575.75	34.08	20753.45	1.09	5.55	NA
43	MayberrySE_TuleC_D2	NA	NA	NA	NA	NA	NA	NA	NA	105	MayberrySE	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	9/6/17	2.473956295	12.8	21.5	4310	35.15472686	0.631124352	5.751284558	141.648857	0.015490757	0.862862162	123114	s105_MayberrySE_TuleC_D2	38.049923	-121.765244	55.5	7.35	47.04	85.5	21.13	12.26	0.863	12.93	0.29	24.96	22.1	0.079	62	471	29780	45	105	s105_MayberrySE_TuleC_D2	s105	W19	2.47	755.51	0.531	70.43	NA	NA	11.90333333	5.414	3.123	0.7355	372911.34	63993.07	110095.06	3158.56	685.23	502.3	575.75	34.08	20753.45	1.09	5.55	NA
44	MayberrySE_CattailA_D1	MayberrySE_CattailA_D1	38.0499	-121.7653	9/4/13	1072556	3300014270	Ga0075325	Gp0116091	23	MayberrySE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	9/4/17	1.958439419	12.8	21.2	3436	9.839868591	0.071790103	1.609794453	16.11249201	0.001762066	0.241516605	151221	s023_MayberrySE_CattailA_D1	38.049904	-121.765358	41	6.88	36.69	349.7	26.52	15.38	1.219	16.95	0.39	27.21	8.6	0.077	NA	NA	NA	NA	23	s023_MayberrySE_CattailA_D1	s023	W7	1.96	670.022	138.55	17.59	1.208	NA	2.077333333	1.866	2.236	0.176	331733.17	51682.37	73850.47	732.95	452.83	359.11	259.67	20.59	9269.13	1.12	5.94	9.46
45	MayberrySE_CattailA_D2	MayberrySE_CattailA_D2	38.0499	-121.7653	9/4/13	1072557	3300014271	Ga0075326	Gp0116092	106	MayberrySE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	9/4/17	1.958439419	12.8	21.2	3436	9.839868591	0.071790103	1.609794453	16.11249201	0.001762066	0.241516605	151221	s106_MayberrySE_CattailA_D2	38.049904	-121.765358	52.2	7.44	21.4	45.1	23.25	13.48	0.964	14.78	NA	21.09	22.8	0.083	53	571	27920	40	106	s106_MayberrySE_CattailA_D2	s106	W7	1.96	670.022	138.55	17.59	1.208	NA	2.077333333	1.866	2.236	0.176	331733.17	51682.37	73850.47	732.95	452.83	359.11	259.67	20.59	9269.13	1.12	5.94	9.46
46	MayberrySE_CattailB_D1	MayberrySE_CattailB_D1	38.0499	-121.7653	9/4/13	1072558	3300014272	Ga0075327	Gp0116093	24	MayberrySE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	9/4/17	1.519552185	12.8	21.3	2709	37.86581116	2.672484983	6.194815731	599.8095971	0.065595337	0.929404908	173466	s024_MayberrySE_CattailB_D1	38.049904	-121.765358	42.1	6.52	23.91	487.8	26.45	15.34	1.282	17.78	0.29	29.42	9	0.072	NA	NA	NA	NA	24	s024_MayberrySE_CattailB_D1	s024	W8	1.52	1112.359	106.7045	43.49	0.292	NA	7.413333333	5.332	3.9305	0.3025	558319.95	78058.07	107328.02	2159.6	751.71	387.74	426.6	33.55	18644.98	0.62	8.56	2.23
47	MayberrySE_CattailB_D2	NA	NA	NA	NA	NA	NA	NA	NA	107	MayberrySE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	9/4/17	1.519552185	12.8	21.3	2709	37.86581116	2.672484983	6.194815731	599.8095971	0.065595337	0.929404908	173466	s107_MayberrySE_CattailB_D2	38.049904	-121.765358	54	6.99	18.52	55.8	24.26	14.07	0.969	14.27	0.17	21.05	22.1	0.083	59	426	27840	45	107	s107_MayberrySE_CattailB_D2	s107	W8	1.52	1112.359	106.7045	43.49	0.292	NA	7.413333333	5.332	3.9305	0.3025	558319.95	78058.07	107328.02	2159.6	751.71	387.74	426.6	33.55	18644.98	0.62	8.56	2.23
48	MayberrySE_CattailC_D1	NA	NA	NA	NA	NA	NA	NA	NA	25	MayberrySE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	9/4/17	1.500152135	13.4	21.4	2682	8.694154892	0.039826341	1.422356628	8.938580171	0.000977526	0.213395408	149598	s025_MayberrySE_CattailC_D1	38.049904	-121.765358	38.5	6.9	47.46	406.7	26.2	15.2	1.25	17.45	0.17	18.52	6.4	0.08	NA	NA	NA	NA	25	s025_MayberrySE_CattailC_D1	s025	W9	1.5	772.078	166.938	30.81	0.1665	NA	4.846666667	1.114	2.839	0.2785	376886.33	66109.26	93819.99	5562.82	637.3	184.94	124.81	22.74	14847.33	0.67	6.79	5.66
49	MayberrySE_CattailC_D2	NA	NA	NA	NA	NA	NA	NA	NA	108	MayberrySE	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	9/4/17	1.500152135	13.4	21.4	2682	8.694154892	0.039826341	1.422356628	8.938580171	0.000977526	0.213395408	149598	s108_MayberrySE_CattailC_D2	38.049904	-121.765358	53.7	7.49	37.11	50.5	21.86	12.68	0.919	13.89	0.29	20.04	14.4	0.079	58	450	27800	45	108	s108_MayberrySE_CattailC_D2	s108	W9	1.5	772.078	166.938	30.81	0.1665	NA	4.846666667	1.114	2.839	0.2785	376886.33	66109.26	93819.99	5562.82	637.3	184.94	124.81	22.74	14847.33	0.67	6.79	5.66
50	MayberryNW_TuleA_D1	MayberryNW_TuleA_D1	38.0525	-121.7692	10/9/13	1072554	3300014301	Ga0075323	Gp0116089	26	MayberryNW	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	10/9/17	3.2	13	17.2	5033	65.24678813	2.261932784	10.67432117	507.6657121	0.055518458	1.601462725	147277	s026_MayberryNW_TuleA_D1	38.052466	-121.7691402	44.5	5.95	74.18	61.3	24.9	14.44	1.188	16.15	0.22	12.22	8.3	0.088	NA	NA	NA	NA	26	s026_MayberryNW_TuleA_D1	s026	W77	3.23	1951.528	31.102	91.03	1.798	NA	0.049833333	NA	8.148	0.65	976662.06	166242.35	186636.96	17709.77	1966.99	213.49	440.02	23.66	9435.85	1.44	10.44	13.16
52	MayberryNW_TuleA_D2	MayberryNW_TuleA_D2	37.770749	-122.378031	10/9/13	1047998	3300003999	Ga0055469	Gp0101354	109	MayberryNW	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	10/9/17	3.2	13	17.2	5033	65.24678813	2.261932784	10.67432117	507.6657121	0.055518458	1.601462725	147277	s109_MayberryNW_TuleA_D2	38.052466	-121.7691402	51.3	5.94	76.29	30.8	25.34	14.7	1.076	15.65	0.18	14.08	18.5	0.103	66	417	32970	44	109	s109_MayberryNW_TuleA_D2	s109	W77	3.23	1951.528	31.102	91.03	1.798	NA	0.049833333	NA	8.148	0.65	976662.06	166242.35	186636.96	17709.77	1966.99	213.49	440.02	23.66	9435.85	1.44	10.44	13.16
53	MayberryNW_TuleB_D1	MayberryNW_TuleB_D1	37.770749	-122.378031	10/9/13	1048001	3300003992	Ga0055470	Gp0101355	27	MayberryNW	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	10/9/17	3.3	12.8	16.4	5063	84.6027521	7.484902836	13.84094104	1679.90338	0.183714681	2.07654902	128302	s027_MayberryNW_TuleB_D1	38.052466	-121.7691402	41.8	6.2	75.98	153.9	26.51	15.38	1.288	17	0.19	57.69	8.6	0.108	NA	NA	NA	NA	27	s027_MayberryNW_TuleB_D1	s027	W78	3.31	1028.214	25.446	53.9	0.466	NA	NA	NA	4.63	0.454	515583.57	95313.91	141550.45	18008.51	1009.16	102.42	3.25	21.25	8480.81	0.8	6.46	NA
54	MayberryNW_TuleB_D2	MayberryNW_TuleB_D2	37.770749	-122.378031	10/9/13	1048004	3300003987	Ga0055471	Gp0101356	110	MayberryNW	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	10/9/17	3.3	12.8	16.4	5063	84.6027521	7.484902836	13.84094104	1679.90338	0.183714681	2.07654902	128302	s110_MayberryNW_TuleB_D2	38.052466	-121.7691402	51.8	6.48	60.22	42	26.21	15.2	1.089	16.03	NA	67.44	23.2	0.102	61	476	31850	41	110	s110_MayberryNW_TuleB_D2	s110	W78	3.31	1028.214	25.446	53.9	0.466	NA	NA	NA	4.63	0.454	515583.57	95313.91	141550.45	18008.51	1009.16	102.42	3.25	21.25	8480.81	0.8	6.46	NA
55	MayberryNW_TuleC_D1	MayberryNW_TuleC_D1	38.0525	-121.7692	10/9/13	1072555	3300014263	Ga0075324	Gp0116090	28	MayberryNW	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	10/9/17	3	13.4	16.5	4583	11.34818142	0.734922143	1.856553198	164.9451193	0.018038442	0.278537688	154081	s028_MayberryNW_TuleC_D1	38.052466	-121.7691402	45.9	6.63	60.63	101.9	24.59	14.26	1.19	16.82	0.13	39.17	6.6	0.082	NA	NA	NA	NA	28	s028_MayberryNW_TuleC_D1	s028	W79	2.97	1527.576	17.3	74.55	1.588	NA	2.421666667	NA	6.646	0.45	777787.29	123036.21	143436.13	28824.74	1110.96	435.05	633.29	26.57	11693.96	0.76	6.27	NA
56	MayberryNW_TuleC_D2	MayberryNW_TuleC_D2	37.770749	-122.378031	10/9/13	1048007	3300003998	Ga0055472	Gp0101357	111	MayberryNW	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	10/9/17	3	13.4	16.5	4583	11.34818142	0.734922143	1.856553198	164.9451193	0.018038442	0.278537688	154081	s111_MayberryNW_TuleC_D2	38.052466	-121.7691402	52	6.48	58.41	47.2	25.24	14.64	1.037	14.78	0.22	23.33	13.9	0.083	61	387	30100	42	111	s111_MayberryNW_TuleC_D2	s111	W79	2.97	1527.576	17.3	74.55	1.588	NA	2.421666667	NA	6.646	0.45	777787.29	123036.21	143436.13	28824.74	1110.96	435.05	633.29	26.57	11693.96	0.76	6.27	NA
57	MayberryNW_CattailA_D1	MayberryNW_CattailA_D1	38.0525	-121.7692	10/9/13	1072552	3300014300	Ga0075321	Gp0116087	29	MayberryNW	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	10/9/17	3.7	12.4	17.2	5753	59.80230681	3.456514191	9.783608475	775.7762525	0.084839098	1.467829574	132440	s029_MayberryNW_CattailA_D1	38.052416	-121.76907	37.1	6.33	81.76	180.9	28.2	16.36	1.26	18.03	0.2	22.8	12.9	0.102	NA	NA	NA	NA	29	s029_MayberryNW_CattailA_D1	s029	W74	3.72	1200.494	13.7775	125.3	NA	1.309	NA	NA	7.0095	0.7895	559893.14	142815.83	208159.83	14412.34	1998.78	261.83	992.74	22.26	13371.21	2.76	7.17	1.23
58	MayberryNW_CattailA_D2	MayberryNW_CattailA_D2	37.770749	-122.378031	10/9/13	1047986	3300004013	Ga0055465	Gp0101350	112	MayberryNW	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	10/9/17	3.7	12.4	17.2	5753	59.80230681	3.456514191	9.783608475	775.7762525	0.084839098	1.467829574	132440	s112_MayberryNW_CattailA_D2	38.052416	-121.76907	47.6	6.37	57.69	47.4	27.75	16.1	1.087	15.73	0.19	17.89	22.8	0.112	61	412	29870	40	112	s112_MayberryNW_CattailA_D2	s112	W74	3.72	1200.494	13.7775	125.3	NA	1.309	NA	NA	7.0095	0.7895	559893.14	142815.83	208159.83	14412.34	1998.78	261.83	992.74	22.26	13371.21	2.76	7.17	1.23
59	MayberryNW_CattailB_D1	MayberryNW_CattailB_D1	38.0525	-121.7692	10/9/13	1072553	3300014311	Ga0075322	Gp0116088	30	MayberryNW	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	10/9/17	3.7	12.6	17.5	5809	117.5183826	3.870948834	19.22591127	868.7915088	0.095011271	2.884453237	134998	s030_MayberryNW_CattailB_D1	38.052416	-121.76907	38.4	6.39	114.07	232.4	27.77	16.11	1.265	17.44	0.18	27.07	11.4	0.115	NA	NA	NA	NA	30	s030_MayberryNW_CattailB_D1	s030	W75	3.74	2109.3955	4.2655	152.1	NA	NA	14.29666667	NA	10.6235	0.9475	1066717.9	188097.06	220804.16	23214.02	2224.65	907.66	1122.42	32.83	22082.9	2.52	9.5	NA
60	MayberryNW_CattailB_D2	MayberryNW_CattailB_D2	37.770749	-122.378031	10/9/13	1047992	3300003996	Ga0055467	Gp0101352	113	MayberryNW	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	10/9/17	3.7	12.6	17.5	5809	117.5183826	3.870948834	19.22591127	868.7915088	0.095011271	2.884453237	134998	s113_MayberryNW_CattailB_D2	38.052416	-121.76907	50.7	6.53	75.2	40.4	24.54	14.23	1.019	15.1	0.2	39.39	19.9	0.101	63	475	32530	43	113	s113_MayberryNW_CattailB_D2	s113	W75	3.74	2109.3955	4.2655	152.1	NA	NA	14.29666667	NA	10.6235	0.9475	1066717.9	188097.06	220804.16	23214.02	2224.65	907.66	1122.42	32.83	22082.9	2.52	9.5	NA
61	MayberryNW_CattailC_D1	MayberryNW_CattailC_D1	37.770749	-122.378031	10/9/13	1047989	3300003997	Ga0055466	Gp0101351	31	MayberryNW	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	10/9/17	3.2	12.4	16.8	4920	99.40803818	5.812950443	16.26307373	1304.652219	0.142677114	2.439940299	133087	s031_MayberryNW_CattailC_D1	38.052416	-121.76907	43.8	6.27	82.12	138.1	27.68	16.06	1.235	17.1	0.12	10.69	9.5	0.085	NA	NA	NA	NA	31	s031_MayberryNW_CattailC_D1	s031	W76	3.18	1552.917	23.5405	94.79	NA	0.4365	NA	NA	7.3225	0.892	743017.54	124685.81	193011.09	14087.7	1780.33	119.59	36.14	24.41	9083.47	1.44	10.28	NA
62	MayberryNW_CattailC_D2	MayberryNW_CattailC_D2	37.770749	-122.378031	10/9/13	1047995	3300003993	Ga0055468	Gp0101353	114	MayberryNW	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	10/9/17	3.2	12.4	16.8	4920	99.40803818	5.812950443	16.26307373	1304.652219	0.142677114	2.439940299	133087	s114_MayberryNW_CattailC_D2	38.052416	-121.76907	52.1	6.37	60.94	34	26	15.08	1.049	15.24	NA	15.72	16.9	0.09	63	472	30990	43	114	s114_MayberryNW_CattailC_D2	s114	W76	3.18	1552.917	23.5405	94.79	NA	0.4365	NA	NA	7.3225	0.892	743017.54	124685.81	193011.09	14087.7	1780.33	119.59	36.14	24.41	9083.47	1.44	10.28	NA
63	Browns_TuleA_D1	Browns_TuleA_D1	38.0458	-121.8667	9/7/13	1072532	3300014262	Ga0075301	Gp0116067	31.5	Browns Island	Browns	Tule	SF_Ref	Oligo	Ref	d1	9/7/17	2.601674251	13	22.5	4616	6.677983546	0.004864347	1.092512646	1.091748797	0.000119394	0.163909091	NA	NA	38.04565	-121.866287	41.7	5.74	62.39	106	10.47	6.07	0.389	5.39	0.25	15.64	24.8	0.09	NA	NA	NA	NA	31.5	NA	s115	W23	2.6	1410.092	173.628	9.053	0.8	NA	4.619333333	NA	4.468	0.276	701808.98	94484.69	74944.69	19522.06	699.85	840.98	8536.98	20.28	12061.2	5.16	13.35	8.48
64	Browns_TuleA_D2	Browns_TuleA_D2	37.770749	-122.378031	9/7/13	1047905	3300003995	Ga0055438	Gp0101323	115	Browns Island	Browns	Tule	SF_Ref	Oligo	Ref	d2	9/7/17	2.601674251	13	22.5	4616	6.677983546	0.004864347	1.092512646	1.091748797	0.000119394	0.163909091	NA	s115_Browns_TuleA_D2	38.04565	-121.866287	41.7	5.74	62.39	106	10.47	6.07	0.389	5.39	0.25	15.64	24.8	0.09	120	927	42340	62	115	s115_Browns_TuleA_D2	s115	W23	2.6	1410.092	173.628	9.053	0.8	NA	4.619333333	NA	4.468	0.276	701808.98	94484.69	74944.69	19522.06	699.85	840.98	8536.98	20.28	12061.2	5.16	13.35	8.48
65	Browns_TuleB_D1	Browns_TuleB_D1	38.0458	-121.8667	9/7/13	1072533	3300014269	Ga0075302	Gp0116068	32	Browns Island	Browns	Tule	SF_Ref	Oligo	Ref	d1	9/7/17	2.879273163	12.2	23.3	5163	16.51505397	0.00824754	2.701849321	1.851068939	0.000202433	0.405357016	155712	s032_Browns_TuleB_D1	38.04565	-121.866287	34.7	6.05	71.29	126.5	12.65	7.34	0.524	7.23	0.15	12.59	14.8	0.098	NA	NA	NA	NA	32	s032_Browns_TuleB_D1	s032	W24	2.88	1472.661	197.094	8.675	2.6365	1.6995	1.971333333	NA	4.777	0.41	719536.26	84484.99	61483.98	19647.19	534.32	43.23	17.23	21.09	9866.08	0.22	15.07	6.84
66	Browns_TuleB_D2	Browns_TuleB_D2	37.770749	-122.378031	9/7/13	1047908	3300004019	Ga0055439	Gp0101324	116	Browns Island	Browns	Tule	SF_Ref	Oligo	Ref	d2	9/7/17	2.879273163	12.2	23.3	5163	16.51505397	0.00824754	2.701849321	1.851068939	0.000202433	0.405357016	155712	s116_Browns_TuleB_D2	38.04565	-121.866287	37.4	5.66	80.26	134.7	12.22	7.09	0.411	5.92	0.56	8.68	18.8	0.094	116	1315	43100	61	116	s116_Browns_TuleB_D2	s116	W24	2.88	1472.661	197.094	8.675	2.6365	1.6995	1.971333333	NA	4.777	0.41	719536.26	84484.99	61483.98	19647.19	534.32	43.23	17.23	21.09	9866.08	0.22	15.07	6.84
67	Browns_TuleC_D1	Browns_TuleC_D1	38.0458	-121.8667	9/7/13	1072534	3300014299	Ga0075303	Gp0116069	33	Browns Island	Browns	Tule	SF_Ref	Oligo	Ref	d1	9/7/17	2.741693348	12.6	22.9	4890	5.910431903	0.003482019	0.966941824	0.781500622	8.55E-05	0.145069767	178925	s033_Browns_TuleC_D1	38.04565	-121.866287	30.5	6.21	82.66	137.7	13.76	7.98	0.557	8.38	0.13	13.4	15.4	0.095	NA	NA	NA	NA	33	s033_Browns_TuleC_D1	s033	W25	2.74	1815.0105	205.3085	8.609	3.3435	2.044	0.064666667	NA	5.843	0.231	870858.57	107983.69	74802.18	22817.17	707.15	7.32	0.71	17.8	9152.4	0.17	17.08	5.9
68	Browns_TuleC_D2	Browns_TuleC_D2	37.770749	-122.378031	9/7/13	1047911	3300004020	Ga0055440	Gp0101325	117	Browns Island	Browns	Tule	SF_Ref	Oligo	Ref	d2	9/7/17	2.741693348	12.6	22.9	4890	5.910431903	0.003482019	0.966941824	0.781500622	8.55E-05	0.145069767	178925	s117_Browns_TuleC_D2	38.04565	-121.866287	34.8	6.13	73.58	128.2	11.06	6.42	0.397	5.78	NA	10.58	10.3	0.074	115	425	33960	63	117	s117_Browns_TuleC_D2	s117	W25	2.74	1815.0105	205.3085	8.609	3.3435	2.044	0.064666667	NA	5.843	0.231	870858.57	107983.69	74802.18	22817.17	707.15	7.32	0.71	17.8	9152.4	0.17	17.08	5.9
69	Browns_ThreeSqA_D1	Browns_ThreeSqA_D1	37.770749	-122.378031	9/7/13	1047887	3300004022	Ga0055432	Gp0101317	34	Browns Island	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	9/7/17	4.865336514	12	20.7	7981	69.40605887	0.013220452	11.35477446	2.967183697	0.000324492	1.70355077	153798	s034_Browns_ThreeSqA_D1	38.045666	-121.866516	32.4	6.25	88.98	175.1	13.94	8.09	0.599	8.18	0.43	16.38	23.5	0.093	NA	NA	NA	NA	34	s034_Browns_ThreeSqA_D1	s034	W20	4.87	1575.502	61.612	10.51	1.688	NA	0.332333333	1.656	4.902	0.148	740570.67	100411.18	72503.11	11945.29	685.37	429.71	1572.14	18.98	9933.09	0.41	11.7	1.24
70	Browns_ThreeSqA_D2	Browns_ThreeSqA_D2	37.770749	-122.378031	9/7/13	1047896	3300003994	Ga0055435	Gp0101320	118	Browns Island	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	9/7/17	4.865336514	12	20.7	7981	69.40605887	0.013220452	11.35477446	2.967183697	0.000324492	1.70355077	153798	s118_Browns_ThreeSqA_D2	38.045666	-121.866516	33.7	6.05	98.67	175	14.35	8.32	0.5	7.18	0.42	28.53	22	0.095	113	621	40070	57	118	s118_Browns_ThreeSqA_D2	s118	W20	4.87	1575.502	61.612	10.51	1.688	NA	0.332333333	1.656	4.902	0.148	740570.67	100411.18	72503.11	11945.29	685.37	429.71	1572.14	18.98	9933.09	0.41	11.7	1.24
71	Browns_ThreeSqB_D1	Browns_ThreeSqB_D1	37.770749	-122.378031	9/7/13	1047890	3300004025	Ga0055433	Gp0101318	35	Browns Island	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	9/7/17	4.348960689	12	19.9	7064	22.42447327	0.00450913	3.668625483	1.012024245	0.000110675	0.550401929	171841	s035_Browns_ThreeSqB_D1	38.045666	-121.866516	31.6	6.23	78.87	145.7	14.38	8.34	0.592	8.37	0.38	24.57	18.4	0.108	NA	NA	NA	NA	35	s035_Browns_ThreeSqB_D1	s035	W21	4.35	1593.292	22.508	19.96	NA	NA	5.946666667	6.744	5.7615	0.446	735115.74	103892.89	74038.84	13579.15	713.44	444.01	2940.1	22.82	13861.75	0.46	11.57	NA
